MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:59:33 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x110010349835865102614942,1517374762.516,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374762.565,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374762.745,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374762.772,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374762.976,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374763.199,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374763.416,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374763.472,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374763.739,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374763.920,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374764.204,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374764.428,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374764.661,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374764.865,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374765.053,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374765.104,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374765.279,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374765.764,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374766.003,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374766.049,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374766.243,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374766.363,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374766.568,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374766.827,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374767.230,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374767.501,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374767.681,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374767.751,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374767.934,0,-33,0,1,21.00,2
0x110010349835865102614942,1517374768.440,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374768.496,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374768.756,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374768.966,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374769.141,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374769.172,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374769.360,0,-32,0,1,21.00,2
0x110010349835865102614942,1517374769.500,0,-33,0,1,21.00,3
