MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:47:19 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1517374027.469,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374027.522,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374027.588,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374027.858,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374027.887,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374027.997,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374028.181,0,-31,0,1,21.00,2
0x107010549013305354071900,1517374028.221,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374028.271,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374028.327,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374028.676,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374028.955,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374029.452,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374029.508,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374029.796,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374030.002,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374030.333,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374030.380,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374030.705,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374030.743,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374030.991,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374031.046,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374031.448,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374031.490,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374031.660,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374031.689,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374031.974,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374032.190,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374032.395,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374032.420,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374032.509,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374032.782,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374032.818,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374033.515,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374033.549,0,-32,0,1,21.00,2
