MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:45:03 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515660291.045,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660291.091,0,-28,0,2,21.00,3
0x107010349013305354381889,1515660291.264,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660291.336,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660291.433,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660291.483,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660291.612,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660291.862,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660291.896,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660292.069,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660292.096,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660292.179,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660292.253,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660292.397,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660292.473,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660292.565,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660292.939,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660292.972,0,-28,0,2,21.00,3
0x107010349013305354381889,1515660293.143,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660293.185,0,-28,0,2,21.00,3
0x107010349013305354381889,1515660293.427,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660293.670,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660293.716,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660293.799,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660293.857,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660293.993,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660294.069,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660294.133,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660294.236,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660294.274,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660294.343,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660294.535,0,-33,0,2,21.00,4
0x107010349013305354381889,1515660294.697,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660294.773,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660294.805,0,-31,0,2,21.00,4
0x107010349013305354381889,1515660294.986,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660295.042,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660295.152,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660295.419,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660295.447,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660295.511,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660295.549,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660295.627,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660295.662,0,-30,0,3,21.00,3
