MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:45:16 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515660304.933,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660304.985,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660305.075,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660305.222,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660305.267,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660305.359,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660305.437,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660305.486,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660305.668,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660305.728,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660305.771,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660305.936,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660306.072,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660306.130,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660306.212,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660306.257,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660306.397,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660306.452,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660306.650,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660306.838,0,-28,0,2,21.00,3
0x107010349013305354381889,1515660306.905,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660306.956,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660306.999,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660307.050,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660307.191,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660307.420,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660307.483,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660307.535,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660307.635,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660307.797,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660307.867,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660307.950,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660308.030,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660308.055,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660308.139,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660308.194,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660308.367,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660308.538,0,-30,0,2,21.00,3
0x107010349013305354381889,1515660308.558,0,-29,0,2,21.00,3
0x107010349013305354381889,1515660308.617,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660308.660,0,-32,0,2,21.00,4
0x107010349013305354381889,1515660308.713,0,-29,0,3,21.00,3
0x107010349013305354381889,1515660308.757,0,-29,0,3,21.00,3
0x107010349013305354381889,1515660308.822,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660308.865,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660309.105,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660309.176,0,-33,0,3,21.00,4
0x107010349013305354381889,1515660309.241,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660309.371,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660309.401,0,-29,0,3,21.00,3
0x107010349013305354381889,1515660309.687,0,-29,0,3,21.00,3
0x107010349013305354381889,1515660309.846,0,-29,0,3,21.00,3
0x107010349013305354381889,1515660309.931,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660310.181,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660310.306,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660310.540,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660310.625,0,-28,0,3,21.00,3
0x107010349013305354381889,1515660310.798,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660310.983,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660311.044,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660311.072,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660311.162,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660311.211,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660311.261,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660311.306,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660311.363,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660311.423,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660311.472,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660311.519,0,-32,0,3,21.00,4
0x107010349013305354381889,1515660311.592,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660311.640,0,-30,0,3,21.00,3
0x107010349013305354381889,1515660311.692,0,-28,0,3,21.00,3
0x107010349013305354381889,1515660311.747,0,-30,0,3,21.00,3
