MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:46:57 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249018591604251877,1515660404.255,0,-32,0,2,21.00,2
0x107010249018591604251877,1515660405.953,0,-32,0,2,21.00,2
0x107010249018591604251877,1515660406.350,0,-32,0,2,21.00,2
0x107010249018591604251877,1515660406.630,0,-32,0,2,21.00,2
0x107010249018591604251877,1515660407.006,0,-32,0,2,21.00,2
0x107010249018591604251877,1515660407.396,0,-32,0,2,21.00,2
0x107010249018591604251877,1515660408.100,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660408.357,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660408.398,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660408.651,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660408.705,0,-31,0,3,21.00,2
0x107010249018591604251877,1515660409.672,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660409.720,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660410.087,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660410.293,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660410.342,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660410.606,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660410.652,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660410.856,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660411.235,0,-32,0,3,21.00,2
0x107010249018591604251877,1515660411.863,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660411.899,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660412.172,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660412.227,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660412.475,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660412.536,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660412.878,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660412.942,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660413.273,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660413.337,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660413.618,0,-32,0,4,21.00,2
0x107010249018591604251877,1515660413.916,0,-31,0,4,21.00,2
0x107010249018591604251877,1515660414.314,0,-31,0,4,21.00,2
0x104010149108547326741498,1515660404.270,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660404.317,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660404.436,0,-27,0,2,21.00,4
0x104010149108547326741498,1515660404.550,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660404.602,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660404.753,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660404.794,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660404.890,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660404.935,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660405.068,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660405.116,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660405.207,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660405.259,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660405.394,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660405.438,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660405.514,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660405.571,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660405.683,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660405.885,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660405.928,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660406.068,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660406.113,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660406.292,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660406.331,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660406.485,0,-27,0,2,21.00,4
0x104010149108547326741498,1515660406.538,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660406.616,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660406.677,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660406.817,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660406.889,0,-29,0,2,21.00,4
0x104010149108547326741498,1515660406.936,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660406.983,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660407.123,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660407.169,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660407.345,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660407.377,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660407.505,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660407.556,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660407.635,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660407.679,0,-29,0,2,21.00,2
0x104010149108547326741498,1515660407.817,0,-28,0,2,21.00,4
0x104010149108547326741498,1515660407.892,0,-29,0,2,21.00,4
0x104010149108547326741498,1515660408.060,0,-29,0,3,21.00,2
0x104010149108547326741498,1515660408.090,0,-29,0,3,21.00,2
