MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:26:40 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515659186.869,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659186.917,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659187.095,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659187.141,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659187.217,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659187.263,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659187.392,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659187.453,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659187.694,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659187.743,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659187.909,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659187.957,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659188.239,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659188.288,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659188.385,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659188.444,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659188.486,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659188.570,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659188.621,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659188.708,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659188.756,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659188.903,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659188.950,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659189.035,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659189.084,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659189.220,0,-27,0,4,21.00,3
0x107010349013305354381889,1515659189.269,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659189.347,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659189.386,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659189.545,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659189.594,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659189.668,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659189.738,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659189.824,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659189.853,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659189.897,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659190.176,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659190.225,0,-33,0,4,21.00,2
0x107010349013305354381889,1515659190.294,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659190.352,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659190.416,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659190.461,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659190.505,0,-28,0,4,21.00,3
0x107010349013305354381889,1515659190.583,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659190.640,0,-33,0,4,21.00,4
0x107010349013305354381889,1515659190.712,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659190.756,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659191.047,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659191.140,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659191.185,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659191.361,0,-27,0,1,21.00,3
0x107010349013305354381889,1515659191.407,0,-27,0,1,21.00,3
0x107010349013305354381889,1515659191.593,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659191.642,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659191.819,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659191.865,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659192.034,0,-28,0,1,21.00,3
0x107010349013305354381889,1515659192.079,0,-28,0,1,21.00,3
