MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:50:41 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006091,1517374228.688,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374228.716,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374228.758,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374228.798,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374228.848,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374228.893,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374228.928,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374228.981,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374229.037,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374229.076,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374229.121,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374229.174,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374229.239,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374229.281,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374229.337,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374229.389,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374229.436,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374229.478,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374229.525,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374229.580,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374229.633,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374229.677,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374229.732,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374229.784,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374229.871,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374229.907,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374229.958,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374229.991,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374230.038,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374230.086,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374230.140,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374230.190,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374230.256,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374230.292,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374230.338,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374230.378,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374230.440,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374230.480,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374230.536,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374230.592,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374230.654,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374230.699,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374230.749,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374230.794,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374230.842,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374230.886,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374230.945,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374230.982,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374231.049,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374231.086,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374231.135,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374231.187,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374231.235,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374231.276,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374231.326,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374231.381,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374231.443,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374231.480,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374231.526,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374231.583,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374231.670,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374231.719,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374231.778,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374231.842,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374231.904,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374231.939,0,-19,0,1,21.00,1
0x000000000000000000006091,1517374231.988,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374232.033,0,-16,0,1,21.00,2
0x000000000000000000006091,1517374232.084,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374232.132,0,-21,0,1,21.00,3
0x000000000000000000006091,1517374232.187,0,-17,0,1,21.00,4
0x000000000000000000006091,1517374232.225,0,-17,0,1,21.00,4
