MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:55:54 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006091,1517374539.813,0,-20,0,1,21.00,2
0x000000000000000000006091,1517374539.871,0,-25,0,1,21.00,3
0x000000000000000000006091,1517374539.914,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374539.964,0,-25,0,1,21.00,4
0x000000000000000000006091,1517374540.010,0,-24,0,1,21.00,4
0x000000000000000000006091,1517374540.076,0,-20,0,1,21.00,2
0x000000000000000000006091,1517374540.150,0,-20,0,1,21.00,2
0x000000000000000000006091,1517374540.219,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374540.260,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374540.316,0,-25,0,1,21.00,4
0x000000000000000000006091,1517374540.367,0,-25,0,1,21.00,4
0x000000000000000000006091,1517374540.437,0,-20,0,1,21.00,2
0x000000000000000000006091,1517374540.492,0,-20,0,1,21.00,2
0x000000000000000000006091,1517374540.561,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374540.607,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374540.662,0,-25,0,1,21.00,4
0x000000000000000000006091,1517374540.719,0,-24,0,1,21.00,4
0x000000000000000000006091,1517374540.776,0,-20,0,1,21.00,2
0x000000000000000000006091,1517374540.836,0,-20,0,1,21.00,2
0x000000000000000000006091,1517374540.922,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374540.965,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374541.017,0,-25,0,1,21.00,4
0x000000000000000000006091,1517374541.095,0,-25,0,1,21.00,4
0x000000000000000000006091,1517374541.165,0,-21,0,1,21.00,2
0x000000000000000000006091,1517374541.216,0,-21,0,1,21.00,2
0x000000000000000000006091,1517374541.283,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374541.329,0,-26,0,1,21.00,3
0x000000000000000000006091,1517374541.377,0,-25,0,1,21.00,4
0x000000000000000000006091,1517374541.429,0,-25,0,1,21.00,4
0x000000000000000000006091,1517374541.490,0,-20,0,1,21.00,2
0x000000000000000000006091,1517374541.537,0,-21,0,1,21.00,2
0x000000000000000000006091,1517374541.598,0,-26,0,1,21.00,3
