MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:48:45 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1517374113.097,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374113.144,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374113.405,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374113.466,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374113.500,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374113.580,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374113.848,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374114.176,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374114.217,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374114.464,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374114.488,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374114.768,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374114.810,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374115.080,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374115.128,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374115.189,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374115.379,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374115.421,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374115.778,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374115.819,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374115.873,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374116.111,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374116.466,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374116.508,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374116.564,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374116.760,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374116.799,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374116.932,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374117.167,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374117.223,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374117.280,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374117.549,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374117.592,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374117.630,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374117.873,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374117.929,0,-33,0,1,21.00,3
0x107010549013305354071900,1517374118.147,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374118.201,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374118.424,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374118.458,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374118.749,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374118.808,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374118.871,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374118.960,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374119.120,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374119.165,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374119.202,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374119.272,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374119.453,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374119.516,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374119.552,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374119.709,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374119.743,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374119.987,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374120.027,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374120.348,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374120.397,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374120.431,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374120.505,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374120.664,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374120.727,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374120.772,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374120.938,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374120.976,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374121.017,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374121.064,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374121.215,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374121.267,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374121.508,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374121.556,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374121.617,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374121.717,0,-33,0,1,21.00,2
0x107010549013305354071900,1517374121.753,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374122.013,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374122.054,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374122.335,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374122.382,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374122.434,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374122.464,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374122.612,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374122.653,0,-32,0,1,21.00,2
0x107010549013305354071900,1517374122.717,0,-34,0,1,21.00,3
0x107010549013305354071900,1517374122.940,0,-32,0,1,21.00,2
0x000000000000000000006021,1517374113.124,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374113.278,0,-27,0,1,21.00,4
0x000000000000000000006021,1517374113.438,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374113.796,0,-23,0,1,21.00,2
0x000000000000000000006021,1517374113.822,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374114.157,0,-23,0,1,21.00,2
0x000000000000000000006021,1517374114.197,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374114.440,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374114.499,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374114.758,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374114.793,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374115.115,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374115.368,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374115.766,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374115.836,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374116.057,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374116.086,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374116.483,0,-23,0,1,21.00,2
0x000000000000000000006021,1517374116.740,0,-23,0,1,21.00,2
0x000000000000000000006021,1517374116.779,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374117.127,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374117.181,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374117.534,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374117.575,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374117.819,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374118.101,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374118.133,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374118.372,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374118.397,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374118.908,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374118.934,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374119.105,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374119.142,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374119.410,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374119.465,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374119.686,0,-26,0,1,21.00,2
0x000000000000000000006021,1517374119.727,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374120.387,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374120.615,0,-23,0,1,21.00,2
0x000000000000000000006021,1517374120.641,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374120.916,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374120.954,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374121.230,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374121.251,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374121.496,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374121.535,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374121.698,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374121.737,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374121.995,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374122.030,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374122.306,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374122.368,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374122.599,0,-24,0,1,21.00,2
0x000000000000000000006021,1517374122.665,0,-25,0,1,21.00,2
0x000000000000000000006021,1517374122.900,0,-23,0,1,21.00,2
0x000000000000000000006021,1517374122.924,0,-24,0,1,21.00,2
0x107010349013305354381891,1517374113.177,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374113.933,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374114.254,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374114.294,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374114.559,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374114.593,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374114.873,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374115.179,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374115.213,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374116.174,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374116.943,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374116.974,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374117.248,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374117.655,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374117.939,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374119.785,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374119.829,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374120.086,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374121.036,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374121.817,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374122.089,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374122.476,0,-34,0,1,21.00,3
0x107010349013305354381891,1517374122.730,0,-33,0,1,21.00,3
0x107010349013305354381891,1517374123.003,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374113.187,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374113.553,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374114.264,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374114.322,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374114.616,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374114.899,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374115.896,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374116.553,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374116.583,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374116.850,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374117.959,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374118.192,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374118.240,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374118.470,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374118.499,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374118.798,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374118.842,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374119.025,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374119.526,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374120.065,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374120.133,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374120.478,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374120.740,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374120.788,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374121.322,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374121.380,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374121.663,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374121.839,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374122.102,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374122.161,0,-33,0,1,21.00,3
0x110010349835865102614942,1517374122.771,0,-34,0,1,21.00,3
0x110010349835865102614942,1517374123.049,0,-34,0,1,21.00,3
0x000000000000000000004005,1517374113.234,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374113.519,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374113.568,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374113.915,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374114.574,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374114.861,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374114.909,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374115.474,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374115.531,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374116.160,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374116.221,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374116.593,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374116.840,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374116.994,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374117.292,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374117.690,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374117.912,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374117.971,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374118.211,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374118.479,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374118.821,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374118.994,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374119.044,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374119.221,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374120.075,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374120.120,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374120.444,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374120.488,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374120.704,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374120.800,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374121.055,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374121.308,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374121.369,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374121.595,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374121.638,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374121.797,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374121.863,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374122.151,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374122.423,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374122.487,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374122.760,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374122.992,0,-30,0,1,21.00,3
0x000000000000000000004005,1517374123.022,0,-30,0,1,21.00,3
0x107010249722621700351874,1517374113.246,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374113.529,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374113.886,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374113.948,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374114.274,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374114.549,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374114.603,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374114.848,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374114.924,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374115.231,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374115.485,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374115.518,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374116.143,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374116.208,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374116.543,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374116.616,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374116.984,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374117.236,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374117.269,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374117.642,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374117.699,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374118.254,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374118.522,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374118.857,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374119.005,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374119.054,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374119.211,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374119.262,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374119.796,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374119.839,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374120.753,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374121.027,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374121.081,0,-32,0,1,21.00,3
0x107010249722621700351874,1517374121.357,0,-32,0,1,21.00,3
