MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/18/18  Time: 11:16:23 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1516241772.640,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241772.687,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241773.328,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241774.040,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241774.081,0,-31,0,1,24.00,2
0x107010349013305354381890,1516241774.383,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241774.441,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241775.582,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241775.610,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241777.144,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241777.174,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241778.552,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241778.609,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241779.648,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241779.677,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241779.955,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241779.995,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241780.541,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241780.593,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241780.942,0,-32,0,1,24.00,2
0x107010349013305354381890,1516241781.019,0,-33,0,1,24.00,2
0x107010249722621700351874,1516241772.652,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241772.705,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241773.000,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241773.030,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241773.618,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241774.392,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241774.422,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241775.592,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241777.133,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241777.184,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241779.289,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241779.330,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241782.278,0,-32,0,1,24.00,2
0x107010249722621700351874,1516241782.329,0,-32,0,1,24.00,2
0x107010349013305354381889,1516241772.664,0,-32,0,1,24.00,2
0x107010349013305354381889,1516241773.592,0,-32,0,1,24.00,2
0x107010349013305354381889,1516241773.636,0,-32,0,1,24.00,2
0x107010349013305354381889,1516241774.063,0,-32,0,1,24.00,2
