MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/18/18  Time: 11:07:55 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006021,1516241250.556,0,-24,0,1,24.00,1
0x000000000000000000006021,1516241250.614,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241250.725,0,-28,0,1,24.00,2
0x000000000000000000006021,1516241250.776,0,-28,0,1,24.00,2
0x000000000000000000006021,1516241250.799,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241250.861,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241250.958,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241250.984,0,-20,0,1,24.00,4
0x000000000000000000006021,1516241251.023,0,-24,0,1,24.00,1
0x000000000000000000006021,1516241251.090,0,-24,0,1,24.00,1
0x000000000000000000006021,1516241251.200,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241251.223,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241251.283,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241251.316,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241251.355,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241251.381,0,-24,0,1,24.00,1
0x000000000000000000006021,1516241251.535,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241251.576,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241251.643,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241251.714,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241251.791,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241252.004,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241252.084,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241252.136,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241252.185,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241252.235,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241252.252,0,-24,0,1,24.00,1
0x000000000000000000006021,1516241252.328,0,-28,0,1,24.00,2
0x000000000000000000006021,1516241252.398,0,-19,0,1,24.00,3
0x000000000000000000006021,1516241252.453,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241252.522,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241252.555,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241252.601,0,-22,0,1,24.00,1
0x000000000000000000006021,1516241252.623,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241252.704,0,-28,0,1,24.00,2
0x000000000000000000006021,1516241252.750,0,-28,0,1,24.00,2
0x000000000000000000006021,1516241252.788,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241252.830,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241252.889,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241252.925,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241252.965,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241253.009,0,-24,0,1,24.00,1
0x000000000000000000006021,1516241253.111,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241253.160,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241253.238,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241253.270,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241253.304,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241253.333,0,-24,0,1,24.00,1
0x000000000000000000006021,1516241253.429,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241253.452,0,-19,0,1,24.00,3
0x000000000000000000006021,1516241253.509,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241253.545,0,-20,0,1,24.00,4
0x000000000000000000006021,1516241253.598,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241253.616,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241253.732,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241253.773,0,-18,0,1,24.00,3
0x000000000000000000006021,1516241253.840,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241253.889,0,-21,0,1,24.00,4
0x000000000000000000006021,1516241253.947,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241254.009,0,-23,0,1,24.00,1
0x000000000000000000006021,1516241254.125,0,-28,0,1,24.00,2
0x000000000000000000006021,1516241254.175,0,-28,0,1,24.00,2
0x000000000000000000006021,1516241254.210,0,-18,0,1,24.00,3
