MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/18/18  Time: 11:10:45 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x106020349010851617841860,1516241433.055,0,-34,0,1,24.00,2
0x106020349010851617841860,1516241433.138,0,-34,0,1,24.00,2
0x106020349010851617841860,1516241443.284,0,-35,0,1,24.00,2
0x106020349010851617841860,1516241443.385,0,-35,0,1,24.00,2
0x106020349010851617841853,1516241433.070,0,-33,0,1,24.00,2
0x106020349010851617841853,1516241433.125,0,-33,0,1,24.00,2
0x106020349010851617841853,1516241433.903,0,-33,0,1,24.00,2
0x106020349010851617841853,1516241433.957,0,-32,0,1,24.00,2
0x106020349010851617841853,1516241439.395,0,-33,0,1,24.00,2
0x106020349010851617841853,1516241439.452,0,-33,0,1,24.00,2
0x106020349010851617841853,1516241440.967,0,-33,0,1,24.00,2
0x106020349010851617841853,1516241441.530,0,-33,0,1,24.00,2
0x106020349010851617841853,1516241441.579,0,-33,0,1,24.00,2
0x106020349010851617841853,1516241442.625,0,-33,0,1,24.00,2
0x107010349013305354381889,1516241433.083,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241433.925,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241434.935,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241435.005,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241436.972,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241437.001,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241437.593,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241438.393,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241438.430,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241438.819,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241438.855,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241439.409,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241439.440,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241440.957,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241441.007,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241441.540,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241441.591,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241442.080,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241442.120,0,-31,0,1,24.00,2
0x107010349013305354381889,1516241443.359,0,-31,0,1,24.00,2
0x000000000000000000006051,1516241433.162,0,-23,0,1,24.00,3
0x000000000000000000006051,1516241433.224,0,-23,0,1,24.00,3
0x000000000000000000006051,1516241433.295,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241433.377,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241433.476,0,-30,0,1,24.00,1
0x000000000000000000006051,1516241433.524,0,-30,0,1,24.00,1
0x000000000000000000006051,1516241433.663,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241433.713,0,-23,0,1,24.00,3
0x000000000000000000006051,1516241433.745,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241433.814,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241433.986,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241434.005,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241434.089,0,-25,0,1,24.00,4
0x000000000000000000006051,1516241434.143,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241434.230,0,-30,0,1,24.00,1
0x000000000000000000006051,1516241434.252,0,-29,0,1,24.00,1
0x000000000000000000006051,1516241434.281,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241434.339,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241434.397,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241434.431,0,-25,0,1,24.00,4
0x000000000000000000006051,1516241434.667,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241434.733,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241434.804,0,-25,0,1,24.00,4
0x000000000000000000006051,1516241434.868,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241435.032,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241435.111,0,-23,0,1,24.00,3
0x000000000000000000006051,1516241435.154,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241435.198,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241435.251,0,-23,0,1,24.00,3
0x000000000000000000006051,1516241435.278,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241435.366,0,-25,0,1,24.00,4
0x000000000000000000006051,1516241435.422,0,-25,0,1,24.00,4
0x000000000000000000006051,1516241435.496,0,-30,0,1,24.00,1
0x000000000000000000006051,1516241435.567,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241435.595,0,-22,0,1,24.00,3
0x000000000000000000006051,1516241435.624,0,-26,0,1,24.00,4
0x000000000000000000006051,1516241435.659,0,-26,0,1,24.00,4
