MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/18/18  Time: 11:13:28 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006081,1516241594.284,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241594.321,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241594.430,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241594.478,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241594.515,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241594.544,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241594.669,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241594.731,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241594.875,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241594.945,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241595.089,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241595.160,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241595.233,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241595.257,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241595.478,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241595.515,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241595.604,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241595.644,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241595.762,0,-21,0,1,24.00,3
0x000000000000000000006081,1516241595.810,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241595.881,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241595.917,0,-23,0,1,24.00,4
0x000000000000000000006081,1516241595.965,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241596.036,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241596.089,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241596.113,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241596.153,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241596.226,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241596.307,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241596.358,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241596.392,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241596.446,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241596.471,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241596.506,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241596.532,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241596.570,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241596.623,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241596.678,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241596.822,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241596.868,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241596.937,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241596.968,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241597.059,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241597.182,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241597.210,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241597.267,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241597.336,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241597.406,0,-23,0,1,24.00,4
0x000000000000000000006081,1516241597.495,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241597.566,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241597.622,0,-23,0,1,24.00,4
0x000000000000000000006081,1516241597.653,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241597.708,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241597.747,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241597.817,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241597.854,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241597.906,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241598.294,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241598.337,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241598.437,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241598.478,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241598.566,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241598.733,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241598.812,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241598.883,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241598.958,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241598.991,0,-21,0,1,24.00,3
0x000000000000000000006081,1516241599.102,0,-23,0,1,24.00,4
0x000000000000000000006081,1516241599.175,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241599.242,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241599.364,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241599.397,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241599.414,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241599.514,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241599.584,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241599.655,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241599.778,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241599.851,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241599.902,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241599.978,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241600.026,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241600.102,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241600.162,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241600.239,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241600.272,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241600.320,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241600.349,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241600.375,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241600.454,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241600.518,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241600.559,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241600.735,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241600.796,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241600.851,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241600.916,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241600.950,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241601.098,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241601.136,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241601.158,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241601.216,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241601.248,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241601.309,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241601.395,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241601.517,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241601.553,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241601.589,0,-23,0,1,24.00,4
0x000000000000000000006081,1516241601.631,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241601.721,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241601.764,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241601.797,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241601.855,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241601.900,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241601.988,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241602.119,0,-21,0,1,24.00,3
0x000000000000000000006081,1516241602.143,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241602.253,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241602.313,0,-23,0,1,24.00,4
0x000000000000000000006081,1516241602.410,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241602.474,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241602.551,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241602.629,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241602.671,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241602.716,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241602.802,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241602.922,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241602.985,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241603.065,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241603.090,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241603.146,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241603.221,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241603.277,0,-30,0,1,24.00,2
0x000000000000000000006081,1516241603.347,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241603.404,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241603.601,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241603.652,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241603.862,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241603.920,0,-21,0,1,24.00,3
0x000000000000000000006081,1516241603.952,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241604.003,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241604.085,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241604.119,0,-27,0,1,24.00,1
0x000000000000000000006081,1516241604.160,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241604.219,0,-20,0,1,24.00,3
0x000000000000000000006081,1516241604.280,0,-24,0,1,24.00,4
0x000000000000000000006081,1516241604.337,0,-24,0,1,24.00,4
0x107010349013305354381890,1516241594.444,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241594.493,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241595.401,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241595.435,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241599.319,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241599.373,0,-33,0,1,24.00,2
0x107010349013305354381890,1516241601.732,0,-33,0,1,24.00,2
0x106020349010851617841857,1516241594.456,0,-34,0,1,24.00,2
0x106020349010851617841857,1516241597.149,0,-35,0,1,24.00,2
0x106020349010851617841857,1516241602.380,0,-35,0,1,24.00,2
0x106020349010851617841857,1516241602.451,0,-35,0,1,24.00,2
0x107010449013305354141898,1516241594.534,0,-32,0,1,24.00,3
0x107010449013305354141898,1516241594.571,0,-32,0,1,24.00,3
0x107010449013305354141898,1516241594.936,0,-33,0,1,24.00,3
0x107010449013305354141898,1516241600.114,0,-33,0,1,24.00,3
0x107010449013305354141898,1516241600.192,0,-32,0,1,24.00,3
0x107010449013305354141898,1516241600.838,0,-31,0,1,24.00,3
0x107010449013305354141898,1516241600.876,0,-32,0,1,24.00,3
0x107010449013305354141898,1516241601.528,0,-32,0,1,24.00,3
0x107010449013305354141898,1516241601.566,0,-32,0,1,24.00,3
0x107010145263633097591867,1516241594.559,0,-31,0,1,24.00,3
0x107010145263633097591867,1516241597.222,0,-32,0,1,24.00,3
