csv,epc,count,mean,std,min,25%,50%,75%,max
TH_10_ALN-9762-FRA.csv,0x000000000000000000006101,157.0,-23.203821656050955,2.8073594982839185,-29.0,-24.0,-23.0,-21.0,-20.0
TH_12_ALN-9715Glint.csv,0x000000000000000000006121,70.0,-28.7,1.2200023758589367,-30.0,-30.0,-29.0,-27.0,-27.0
TH_14_3004855MiniWeb.csv,0x000000000000000000006141,135.0,-23.08888888888889,2.4961662146468298,-29.0,-23.0,-23.0,-21.0,-21.0
TH_15_ALN-9710-R.csv,0x000000000000000000006151,154.0,-22.357142857142858,2.6683293136087376,-27.0,-24.0,-21.0,-20.0,-19.0
TH_17_AD-172u7.csv,0x000000000000000000006171,9.0,-32.22222222222222,2.1081851067789192,-34.0,-34.0,-34.0,-30.0,-30.0
TH_18_UL-21.csv,0x000000000000000000006181,158.0,-24.164556962025316,3.1132770116890884,-30.0,-28.0,-24.0,-21.0,-20.0
TH_19_AZ-9762.csv,0x000000000000000000006191,146.0,-22.726027397260275,2.6405865282238574,-28.0,-24.75,-22.0,-20.0,-19.0
TH_1_ALN-9840.csv,0x000000000000000000006011,157.0,-21.85987261146497,2.896635091871776,-29.0,-23.0,-21.0,-19.0,-18.0
TH_20_ALN-9629.csv,0x000000000000000000006201,175.0,-21.98857142857143,1.6574061282291765,-25.0,-23.0,-22.0,-20.0,-19.0
TH_2_ALN-9740.csv,0x000000000000000000006021,178.0,-21.46629213483146,3.021857991713821,-28.0,-23.0,-21.0,-18.0,-18.0
TH_3_ALN-9741-R.csv,0x000000000000000000006031,177.0,-18.06779661016949,2.5104174325538504,-21.0,-21.0,-19.0,-16.0,-15.0
TH_4_AD-229r6P.csv,0x000000000000000000006041,157.0,-21.363057324840764,3.7213053717438638,-29.0,-24.0,-21.0,-17.0,-16.0
TH_5_SLIM.csv,0x000000000000000000006051,133.0,-24.706766917293233,2.4145454270945708,-30.0,-26.0,-25.0,-22.0,-21.0
TH_6_3003163BELT.csv,0x000000000000000000006061,154.0,-24.2012987012987,3.117271871888348,-30.0,-27.0,-24.0,-21.0,-20.0
TH_7_AD-160u7.csv,0x000000000000000000006071,98.0,-29.153061224489797,1.46682939377411,-35.0,-29.0,-29.0,-28.0,-28.0
TH_8_AD-237r6.csv,0x000000000000000000006081,145.0,-23.8,3.3594807799883477,-30.0,-27.0,-24.0,-20.0,-20.0
TH_9_ZEPHYR-2.csv,0x000000000000000000006091,149.0,-23.335570469798657,3.150741522020104,-30.0,-24.0,-24.0,-20.0,-19.0
