csv,epc,count,mean,std,min,25%,50%,75%,max
TH_10_ALN-9762-FRA.csv,0x000000000000000000006101,157,-23.20382166,2.807359498,-29,-24,-23,-21,-20
TH_12_ALN-9715Glint.csv,0x000000000000000000006121,70,-28.7,1.220002376,-30,-30,-29,-27,-27
TH_14_3004855MiniWeb.csv,0x000000000000000000006141,135,-23.08888889,2.496166215,-29,-23,-23,-21,-21
TH_15_ALN-9710-R.csv,0x000000000000000000006151,154,-22.35714286,2.668329314,-27,-24,-21,-20,-19
TH_17_AD-172u7.csv,0x000000000000000000006171,9,-32.22222222,2.108185107,-34,-34,-34,-30,-30
TH_18_UL-21.csv,0x000000000000000000006181,158,-24.16455696,3.113277012,-30,-28,-24,-21,-20
TH_19_AZ-9762.csv,0x000000000000000000006191,146,-22.7260274,2.640586528,-28,-24.75,-22,-20,-19
TH_1_ALN-9840.csv,0x000000000000000000006011,157,-21.85987261,2.896635092,-29,-23,-21,-19,-18
TH_20_ALN-9629.csv,0x000000000000000000006201,175,-21.98857143,1.657406128,-25,-23,-22,-20,-19
TH_2_ALN-9740.csv,0x000000000000000000006021,178,-21.46629213,3.021857992,-28,-23,-21,-18,-18
TH_3_ALN-9741-R.csv,0x000000000000000000006031,177,-18.06779661,2.510417433,-21,-21,-19,-16,-15
TH_4_AD-229r6P.csv,0x000000000000000000006041,157,-21.36305732,3.721305372,-29,-24,-21,-17,-16
TH_5_SLIM.csv,0x000000000000000000006051,133,-24.70676692,2.414545427,-30,-26,-25,-22,-21
TH_6_3003163BELT.csv,0x000000000000000000006061,154,-24.2012987,3.117271872,-30,-27,-24,-21,-20
TH_7_AD-160u7.csv,0x000000000000000000006071,98,-29.15306122,1.466829394,-35,-29,-29,-28,-28
TH_8_AD-237r6.csv,0x000000000000000000006081,145,-23.8,3.35948078,-30,-27,-24,-20,-20
TH_9_ZEPHYR-2.csv,0x000000000000000000006091,149,-23.33557047,3.150741522,-30,-24,-24,-20,-19
,,,,,,,,,
※6161は小さすぎて読めなかった、とデータを見返して判明,,,,,,,,,
