csv,epc,type,rssi
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004001,count,3.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004001,mean,-60.833333333333336
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004001,std,0.7637626158259734
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004001,min,-61.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004001,25%,-61.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004001,50%,-61.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004001,75%,-60.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004001,max,-60.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004002,count,4.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004002,mean,-60.375
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004002,std,1.4361406616345072
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004002,min,-62.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004002,25%,-60.625
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004002,50%,-59.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004002,75%,-59.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004002,max,-59.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004003,count,17.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004003,mean,-57.1764705882353
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004003,std,2.9151606756242243
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004003,min,-67.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004003,25%,-57.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004003,50%,-57.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004003,75%,-55.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004003,max,-54.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004004,count,3.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004004,mean,-62.166666666666664
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004004,std,1.8929694486000912
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004004,min,-63.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004004,25%,-63.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004004,50%,-63.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004004,75%,-61.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004004,max,-60.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004005,count,24.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004005,mean,-60.291666666666664
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004005,std,3.12742659409446
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004005,min,-66.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004005,25%,-63.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004005,50%,-60.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004005,75%,-58.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004005,max,-55.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004006,count,24.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004006,mean,-57.708333333333336
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004006,std,2.706339846050167
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004006,min,-63.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004006,25%,-59.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004006,50%,-57.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004006,75%,-55.75
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000004006,max,-54.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007471,count,15.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007471,mean,-39.7
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007471,std,4.250210078841482
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007471,min,-43.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007471,25%,-42.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007471,50%,-41.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007471,75%,-39.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007471,max,-30.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007472,count,8.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007472,mean,-46.4375
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007472,std,3.6394416761758546
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007472,min,-53.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007472,25%,-47.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007472,50%,-46.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007472,75%,-44.625
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007472,max,-41.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007473,count,21.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007473,mean,-43.61904761904762
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007473,std,2.509505737713912
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007473,min,-49.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007473,25%,-45.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007473,50%,-44.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x000000000000000000007473,75%,-41.5
