MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:28:03 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001134,1514449669.338,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449669.372,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449669.515,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449669.556,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449669.751,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449669.847,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449669.881,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449670.073,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449670.136,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449670.214,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449670.326,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449670.355,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449670.540,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449670.587,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449670.637,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449670.679,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449670.825,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449670.860,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449671.037,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449671.099,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449671.267,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449671.376,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449671.403,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449671.576,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449671.697,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449671.729,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449671.812,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449671.858,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.038,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.069,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.207,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.252,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.317,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449672.352,0,-32,0,2,21.00,2
0x000000000000000000001134,1514449672.409,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.587,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.652,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.702,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.788,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449672.828,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449673.014,0,-31,0,2,21.00,4
0x000000000000000000001134,1514449673.055,0,-31,0,2,21.00,4
