MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:31:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001107,1514449881.242,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449881.301,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449881.649,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449881.689,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449882.010,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449882.075,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449882.368,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449882.420,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449882.728,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449882.777,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449883.083,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449883.137,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449883.329,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449883.538,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449883.573,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449883.938,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449883.989,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449884.167,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449884.200,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449884.542,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449884.567,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449884.891,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449884.930,0,-32,0,1,21.00,3
0x000000000000000000001107,1514449885.204,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449885.254,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449885.727,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449885.789,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449886.419,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449886.468,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449887.202,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449887.822,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449888.094,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449888.167,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449888.393,0,-32,0,2,21.00,3
0x000000000000000000001107,1514449888.852,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449889.170,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449889.220,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449889.528,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449889.582,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449889.744,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449889.808,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449890.004,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449890.059,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449890.255,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449890.428,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449890.473,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449890.645,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449890.689,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449891.000,0,-32,0,3,21.00,3
0x000000000000000000001107,1514449891.061,0,-32,0,3,21.00,3
0x000000000000000000001102,1514449881.255,0,-32,0,1,21.00,3
0x000000000000000000001102,1514449881.287,0,-32,0,1,21.00,3
0x000000000000000000001102,1514449881.368,0,-34,0,1,21.00,4
0x000000000000000000001102,1514449881.662,0,-32,0,1,21.00,3
0x000000000000000000001102,1514449881.700,0,-32,0,1,21.00,3
0x000000000000000000001102,1514449882.023,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449882.066,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449882.383,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449882.436,0,-34,0,1,21.00,3
0x000000000000000000001102,1514449882.738,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449882.803,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449883.111,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449883.274,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449883.318,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449883.525,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449883.596,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449884.011,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449884.211,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449884.261,0,-34,0,1,21.00,4
0x000000000000000000001102,1514449884.596,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449884.947,0,-33,0,1,21.00,3
0x000000000000000000001102,1514449885.217,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449885.267,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449885.771,0,-34,0,2,21.00,3
0x000000000000000000001102,1514449886.409,0,-34,0,2,21.00,3
0x000000000000000000001102,1514449886.447,0,-34,0,2,21.00,3
0x000000000000000000001102,1514449887.148,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449887.177,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449887.783,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449887.841,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449888.141,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449888.314,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449888.365,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449888.803,0,-33,0,2,21.00,3
0x000000000000000000001102,1514449888.879,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449889.237,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449889.594,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449889.821,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449890.046,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449890.199,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449890.275,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449890.496,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449890.712,0,-33,0,3,21.00,3
0x000000000000000000001102,1514449891.037,0,-33,0,3,21.00,3
0x000000000000000000001108,1514449881.310,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449881.405,0,-34,0,1,21.00,4
0x000000000000000000001108,1514449881.480,0,-34,0,1,21.00,4
0x000000000000000000001108,1514449881.551,0,-34,0,1,21.00,4
0x000000000000000000001108,1514449881.719,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449882.087,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449882.446,0,-34,0,1,21.00,3
0x000000000000000000001108,1514449882.790,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449882.958,0,-34,0,1,21.00,4
0x000000000000000000001108,1514449883.121,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449883.289,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449883.339,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449883.583,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449883.952,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449883.998,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449884.178,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449884.221,0,-33,0,1,21.00,3
0x000000000000000000001108,1514449884.413,0,-33,0,1,21.00,1
0x000000000000000000001108,1514449884.532,0,-33,0,1,21.00,3
