MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:06:28 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006111,1515657975.675,0,-26,0,2,21.00,1
0x000000000000000000006111,1515657975.753,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657975.780,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657975.806,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657975.846,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657975.896,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657975.950,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657975.997,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657976.060,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657976.094,0,-26,0,2,21.00,1
0x000000000000000000006111,1515657976.121,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657976.147,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657976.184,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657976.234,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657976.283,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657976.322,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657976.387,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657976.453,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657976.494,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657976.530,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657976.577,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657976.629,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657976.676,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657976.755,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657976.808,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657976.835,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657976.871,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657976.921,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657976.959,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657977.007,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657977.056,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657977.139,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657977.195,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657977.237,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657977.272,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657977.321,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657977.367,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657977.416,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657977.476,0,-26,0,2,21.00,1
0x000000000000000000006111,1515657977.523,0,-25,0,2,21.00,1
0x000000000000000000006111,1515657977.579,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657977.616,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657977.661,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657977.714,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657977.767,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657977.828,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657977.888,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657977.947,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657977.995,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657978.023,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657978.054,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657978.107,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657978.163,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657978.204,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657978.272,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657978.322,0,-27,0,2,21.00,1
0x000000000000000000006111,1515657978.355,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657978.385,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657978.422,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657978.471,0,-25,0,2,21.00,3
0x000000000000000000006111,1515657978.533,0,-19,0,2,21.00,4
0x000000000000000000006111,1515657978.580,0,-20,0,2,21.00,4
0x000000000000000000006111,1515657978.736,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657978.779,0,-18,0,2,21.00,2
0x000000000000000000006111,1515657978.827,0,-26,0,2,21.00,3
0x000000000000000000006111,1515657978.872,0,-25,0,2,21.00,3
