MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:27:37 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515666443.411,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666443.447,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666443.794,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666443.873,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666444.761,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666444.813,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666445.174,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666445.275,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666445.960,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666446.022,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666446.411,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666446.452,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666447.143,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666447.180,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666447.541,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666447.590,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666448.388,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666448.444,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666449.453,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666449.491,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666449.856,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666451.355,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666451.391,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666451.750,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666451.796,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666452.060,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666452.091,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666453.072,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666453.121,0,-30,0,3,21.00,1
0x107010549013305354071900,1515666443.458,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666443.715,0,-33,0,1,21.00,4
0x107010549013305354071900,1515666443.805,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666443.856,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666444.748,0,-32,0,1,21.00,1
0x107010549013305354071900,1515666444.800,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666445.198,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666445.226,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666445.969,0,-33,0,1,21.00,1
0x107010549013305354071900,1515666446.033,0,-32,0,1,21.00,1
0x107010549013305354071900,1515666446.392,0,-32,0,1,21.00,1
