MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:41:02 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x104010149108547326741498,1515667248.994,0,-33,0,3,21.00,1
0x104010149108547326741498,1515667249.045,0,-33,0,3,21.00,1
0x104010149108547326741498,1515667249.089,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667249.151,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667249.308,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667249.331,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667249.513,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667249.691,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667249.712,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667249.789,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667249.843,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667249.984,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667250.036,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667250.097,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667250.147,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667250.231,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667250.325,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667250.369,0,-30,0,3,21.00,4
0x104010149108547326741498,1515667250.409,0,-33,0,3,21.00,1
0x104010149108547326741498,1515667250.461,0,-33,0,3,21.00,1
0x104010149108547326741498,1515667250.531,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667250.561,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667250.689,0,-28,0,3,21.00,4
0x104010149108547326741498,1515667250.735,0,-28,0,3,21.00,4
0x104010149108547326741498,1515667250.806,0,-33,0,3,21.00,1
0x104010149108547326741498,1515667250.854,0,-33,0,3,21.00,1
0x104010149108547326741498,1515667250.894,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667250.941,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667251.097,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667251.282,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667251.342,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667251.521,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667251.620,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667251.666,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667251.797,0,-28,0,3,21.00,4
0x104010149108547326741498,1515667251.879,0,-29,0,3,21.00,4
0x104010149108547326741498,1515667252.050,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667252.458,0,-30,0,3,21.00,2
0x104010149108547326741498,1515667252.507,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667252.542,0,-35,0,3,21.00,3
0x104010149108547326741498,1515667252.717,0,-33,0,3,21.00,1
0x104010149108547326741498,1515667252.812,0,-30,0,4,21.00,2
0x104010149108547326741498,1515667252.845,0,-30,0,4,21.00,2
0x104010149108547326741498,1515667252.894,0,-29,0,4,21.00,4
0x104010149108547326741498,1515667252.952,0,-30,0,4,21.00,4
