MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:22:46 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515666152.576,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666152.648,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666152.916,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666152.981,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666153.244,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666153.314,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666153.584,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666153.627,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666154.386,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666154.431,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666154.684,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666154.735,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666155.004,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666155.061,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666155.330,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666155.361,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666155.626,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666155.669,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666155.902,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666155.935,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666156.230,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666156.276,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666156.560,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666156.612,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666157.081,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666157.105,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666157.415,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666157.459,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666157.810,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666157.854,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666158.122,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666158.155,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666158.620,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666158.659,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666159.170,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666159.199,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666159.559,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666159.595,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666159.890,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666159.957,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666160.536,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666160.568,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666160.826,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666160.856,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666161.103,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666161.133,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666161.381,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666161.422,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666161.671,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666161.707,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666162.167,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666162.200,0,-30,0,3,21.00,1
0x107010349013305354381888,1515666152.635,0,-33,0,1,21.00,1
0x107010349013305354381888,1515666152.903,0,-33,0,1,21.00,1
0x107010349013305354381888,1515666152.991,0,-33,0,1,21.00,1
0x107010349013305354381888,1515666153.262,0,-33,0,1,21.00,1
0x107010349013305354381888,1515666153.326,0,-33,0,1,21.00,1
0x107010349013305354381888,1515666153.606,0,-33,0,1,21.00,1
