MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:23:08 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515666174.373,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666174.412,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666175.088,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666175.132,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666175.385,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666175.438,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666175.902,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666175.945,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666177.701,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666177.740,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666177.979,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666178.019,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666178.286,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666178.331,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666178.792,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666178.825,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666179.083,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666179.123,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666179.497,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666179.819,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666180.053,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666180.092,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666180.434,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666180.476,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666180.753,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666180.786,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666181.251,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666181.289,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666181.564,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666181.600,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666181.866,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666181.905,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666182.964,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666182.989,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666183.749,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666183.776,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666184.032,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666184.063,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666184.340,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666184.383,0,-30,0,3,21.00,1
0x107010145263633097591868,1515666174.472,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666174.933,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666175.687,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666175.751,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666176.137,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666176.638,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666176.882,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666177.058,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666177.558,0,-34,0,1,21.00,3
0x107010145263633097591868,1515666177.846,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666178.112,0,-33,0,1,21.00,3
0x107010145263633097591868,1515666178.406,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666178.605,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666178.951,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666180.241,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666180.851,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666180.879,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666181.077,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666181.354,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666181.392,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666181.679,0,-33,0,2,21.00,3
0x107010145263633097591868,1515666182.086,0,-33,0,3,21.00,3
0x107010145263633097591868,1515666182.266,0,-33,0,3,21.00,3
0x107010145263633097591868,1515666182.592,0,-33,0,3,21.00,3
0x107010145263633097591868,1515666182.777,0,-33,0,3,21.00,3
0x107010145263633097591868,1515666183.103,0,-33,0,3,21.00,3
0x107010145263633097591868,1515666183.333,0,-33,0,3,21.00,3
0x107010249722621700351874,1515666174.490,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666174.518,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666174.708,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666174.914,0,-31,0,1,21.00,3
0x107010249722621700351874,1515666175.199,0,-32,0,1,21.00,3
