MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:23:30 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515666195.733,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666195.771,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666196.088,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666196.126,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666196.407,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666196.446,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666196.768,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666196.819,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666197.165,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666197.214,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666198.210,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666198.252,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666198.941,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666198.992,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666199.246,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666199.306,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515666199.777,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666199.829,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666200.146,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666200.182,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666200.846,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666200.873,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666201.429,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666201.456,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666201.934,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666201.968,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666202.218,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666202.243,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666202.508,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666202.535,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666203.078,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666203.109,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515666203.390,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666203.421,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666203.912,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666203.959,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666204.420,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666204.460,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666205.154,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666205.192,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666206.056,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515666206.093,0,-30,0,3,21.00,1
0x107010249018591604251877,1515666195.820,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666195.849,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666196.505,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666196.532,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666196.880,0,-32,0,1,21.00,2
0x107010249018591604251877,1515666196.915,0,-32,0,1,21.00,2
0x107010249018591604251877,1515666197.730,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666197.773,0,-31,0,1,21.00,2
0x107010249018591604251877,1515666199.866,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666199.913,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666200.914,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666200.970,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666201.141,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666201.170,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666202.788,0,-31,0,2,21.00,2
0x107010249018591604251877,1515666202.828,0,-31,0,2,21.00,2
0x107010349013305354381889,1515666195.894,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666195.929,0,-29,0,1,21.00,3
0x107010349013305354381889,1515666196.214,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666196.357,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666196.578,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666196.640,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666196.728,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666196.941,0,-30,0,1,21.00,3
0x107010349013305354381889,1515666197.003,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666197.056,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666197.114,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666197.266,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666197.572,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666197.674,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666197.880,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666197.968,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666198.023,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666198.064,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666198.131,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666198.340,0,-29,0,1,21.00,3
0x107010349013305354381889,1515666198.721,0,-29,0,1,21.00,3
0x107010349013305354381889,1515666198.781,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666198.841,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666198.873,0,-32,0,1,21.00,4
0x107010349013305354381889,1515666199.047,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666199.120,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666199.204,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666199.380,0,-31,0,1,21.00,3
0x107010349013305354381889,1515666199.470,0,-33,0,1,21.00,4
0x107010349013305354381889,1515666199.550,0,-33,0,2,21.00,4
0x107010349013305354381889,1515666199.635,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666199.978,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666200.069,0,-33,0,2,21.00,4
0x107010349013305354381889,1515666200.232,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666200.495,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666200.587,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666200.699,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666201.346,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666201.539,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666201.753,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666202.004,0,-30,0,2,21.00,3
0x107010349013305354381889,1515666202.058,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666202.282,0,-30,0,2,21.00,3
0x107010349013305354381889,1515666202.354,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666202.422,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666202.612,0,-30,0,2,21.00,3
0x107010349013305354381889,1515666202.701,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666202.892,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666202.982,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666203.030,0,-32,0,2,21.00,4
0x107010349013305354381889,1515666203.177,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666203.223,0,-31,0,2,21.00,3
0x107010349013305354381889,1515666203.487,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666203.538,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666203.696,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666203.756,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666204.022,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666204.096,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666204.140,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666204.236,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666204.523,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666204.671,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666204.782,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666204.891,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666205.107,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666205.247,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666205.297,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666205.462,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666205.532,0,-31,0,3,21.00,3
0x107010349013305354381889,1515666205.709,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666205.768,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666206.008,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666206.146,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666206.188,0,-32,0,3,21.00,3
0x107010349013305354381889,1515666206.253,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666206.301,0,-33,0,3,21.00,4
0x107010349013305354381889,1515666206.370,0,-31,0,3,21.00,3
0x106020349010851617841860,1515666195.909,0,-34,0,1,21.00,3
0x106020349010851617841860,1515666195.941,0,-34,0,1,21.00,3
0x106020349010851617841860,1515666196.953,0,-34,0,1,21.00,3
0x106020349010851617841860,1515666197.317,0,-34,0,1,21.00,3
0x106020349010851617841860,1515666197.518,0,-34,0,1,21.00,3
