MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:21:47 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001209,1514362890.544,0,-33,0,4,21.00,2
0x000000000000000000001209,1514362892.847,0,-33,0,4,21.00,2
0x000000000000000000001209,1514362896.814,0,-33,0,1,21.00,4
0x000000000000000000001209,1514362896.869,0,-33,0,1,21.00,4
0x000000000000000000000017,1514362890.563,0,-34,0,4,21.00,2
0x000000000000000000000017,1514362890.614,0,-34,0,4,21.00,2
0x000000000000000000000017,1514362890.874,0,-33,0,4,21.00,2
0x000000000000000000000017,1514362890.901,0,-34,0,4,21.00,2
0x000000000000000000000017,1514362892.818,0,-34,0,4,21.00,2
0x000000000000000000000017,1514362892.857,0,-34,0,4,21.00,2
0x000000000000000000000017,1514362899.144,0,-34,0,2,21.00,2
0x000000000000000000000017,1514362899.172,0,-34,0,2,21.00,2
0x000000000000000000001278,1514362890.605,0,-29,0,4,21.00,2
0x000000000000000000001278,1514362890.852,0,-29,0,4,21.00,2
0x000000000000000000001278,1514362890.916,0,-29,0,4,21.00,2
0x000000000000000000001278,1514362890.965,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362891.015,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362891.074,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362891.354,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362891.401,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362891.443,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362891.499,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362891.546,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362891.592,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362891.639,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362891.680,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362891.740,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362891.826,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362891.958,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362892.022,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362892.071,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362892.169,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362892.211,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362892.278,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362892.346,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362892.394,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362892.436,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362892.507,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362892.622,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362892.697,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362892.735,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362892.805,0,-29,0,4,21.00,2
0x000000000000000000001278,1514362893.046,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362893.229,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362893.338,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362893.510,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362893.553,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362893.599,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362893.648,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362893.815,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362893.883,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362893.954,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362894.007,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362894.043,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362894.105,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362894.133,0,-33,0,4,21.00,3
0x000000000000000000001278,1514362894.186,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362894.239,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362894.290,0,-34,0,4,21.00,1
0x000000000000000000001278,1514362894.352,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362894.395,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362894.456,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362894.501,0,-30,0,1,21.00,4
0x000000000000000000001278,1514362894.532,0,-28,0,1,21.00,4
0x000000000000000000001278,1514362894.728,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362894.772,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362894.855,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362894.927,0,-30,0,1,21.00,4
0x000000000000000000001278,1514362894.959,0,-28,0,1,21.00,4
0x000000000000000000001278,1514362895.052,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362895.136,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362895.204,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362895.368,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362895.421,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362895.567,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362895.612,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362895.675,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362895.729,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362895.801,0,-30,0,1,21.00,4
0x000000000000000000001278,1514362895.874,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362895.924,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362896.118,0,-29,0,1,21.00,4
0x000000000000000000001278,1514362896.195,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362896.245,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362896.439,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362896.495,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362896.592,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362896.739,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362896.912,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362896.958,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362897.016,0,-28,0,1,21.00,4
0x000000000000000000001278,1514362897.106,0,-30,0,1,21.00,4
0x000000000000000000001278,1514362897.147,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362897.189,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362897.276,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362897.472,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362897.522,0,-34,0,1,21.00,1
0x000000000000000000001278,1514362897.586,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362897.630,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362897.713,0,-30,0,1,21.00,4
0x000000000000000000001278,1514362897.809,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362897.860,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362898.051,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362898.110,0,-32,0,1,21.00,3
0x000000000000000000001278,1514362898.217,0,-30,0,2,21.00,4
0x000000000000000000001278,1514362898.303,0,-28,0,2,21.00,4
0x000000000000000000001278,1514362898.393,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362898.602,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362898.637,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362898.710,0,-32,0,2,21.00,3
0x000000000000000000001278,1514362898.756,0,-32,0,2,21.00,3
0x000000000000000000001278,1514362898.777,0,-28,0,2,21.00,4
0x000000000000000000001278,1514362898.849,0,-30,0,2,21.00,4
0x000000000000000000001278,1514362899.042,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362899.094,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362899.129,0,-29,0,2,21.00,2
0x000000000000000000001278,1514362899.185,0,-29,0,2,21.00,2
0x000000000000000000001278,1514362899.237,0,-32,0,2,21.00,3
0x000000000000000000001278,1514362899.271,0,-32,0,2,21.00,3
0x000000000000000000001278,1514362899.430,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362899.459,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362899.520,0,-32,0,2,21.00,3
0x000000000000000000001278,1514362899.578,0,-32,0,2,21.00,3
0x000000000000000000001278,1514362899.623,0,-30,0,2,21.00,4
0x000000000000000000001278,1514362899.697,0,-30,0,2,21.00,4
0x000000000000000000001278,1514362899.808,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362899.913,0,-30,0,2,21.00,4
0x000000000000000000001278,1514362899.976,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362900.035,0,-34,0,2,21.00,1
0x000000000000000000001278,1514362900.092,0,-32,0,2,21.00,3
