MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:29:40 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001116,1514363363.103,0,-33,0,3,21.00,1
0x000000000000000000001116,1514363363.375,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363363.579,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363363.805,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363363.894,0,-33,0,3,21.00,1
0x000000000000000000001116,1514363364.050,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363364.093,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363364.565,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363364.593,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363365.505,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363365.562,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363366.021,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363366.081,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363366.241,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363366.277,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363366.692,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363366.936,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363366.981,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363367.540,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363367.745,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363367.801,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363368.254,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363368.643,0,-31,0,4,21.00,4
0x000000000000000000001116,1514363368.800,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363368.850,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363369.362,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363369.849,0,-31,0,4,21.00,4
0x000000000000000000001116,1514363370.151,0,-33,0,4,21.00,1
0x000000000000000000001116,1514363370.190,0,-33,0,4,21.00,1
0x000000000000000000001116,1514363370.615,0,-31,0,4,21.00,4
0x000000000000000000001116,1514363370.832,0,-30,0,1,21.00,4
0x000000000000000000001116,1514363370.886,0,-30,0,1,21.00,4
0x000000000000000000001116,1514363371.057,0,-30,0,1,21.00,4
0x000000000000000000001116,1514363371.108,0,-30,0,1,21.00,4
0x000000000000000000001116,1514363371.419,0,-30,0,1,21.00,4
0x000000000000000000001116,1514363371.799,0,-30,0,1,21.00,4
