MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:29:00 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000000020,1514363311.943,0,-34,0,3,21.00,4
0x000000000000000000000020,1514363311.990,0,-34,0,3,21.00,4
0x000000000000000000000020,1514363312.595,0,-34,0,3,21.00,4
0x000000000000000000000020,1514363312.656,0,-33,0,3,21.00,4
0x000000000000000000000020,1514363313.894,0,-33,0,3,21.00,4
0x000000000000000000000020,1514363317.111,0,-34,0,4,21.00,4
0x000000000000000000000020,1514363317.157,0,-34,0,4,21.00,4
0x000000000000000000000020,1514363317.774,0,-34,0,4,21.00,4
0x000000000000000000000020,1514363318.101,0,-34,0,4,21.00,4
0x000000000000000000000020,1514363318.340,0,-34,0,4,21.00,4
0x000000000000000000000020,1514363318.829,0,-34,0,4,21.00,4
0x000000000000000000000020,1514363319.905,0,-33,0,1,21.00,4
0x000000000000000000000020,1514363319.941,0,-33,0,1,21.00,4
0x000000000000000000000020,1514363320.902,0,-33,0,1,21.00,4
0x000000000000000000000020,1514363320.930,0,-33,0,1,21.00,4
0x000000000000000000000020,1514363321.671,0,-33,0,1,21.00,4
0x000000000000000000000020,1514363321.723,0,-33,0,1,21.00,4
0x000000000000000000001116,1514363311.952,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363312.000,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363312.281,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363312.341,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363312.823,0,-33,0,3,21.00,3
0x000000000000000000001116,1514363312.921,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363313.131,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363313.655,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363313.861,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363313.927,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363314.073,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363314.129,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363314.275,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363314.323,0,-32,0,3,21.00,4
0x000000000000000000001116,1514363314.386,0,-33,0,3,21.00,3
0x000000000000000000001116,1514363314.431,0,-33,0,3,21.00,3
0x000000000000000000001116,1514363314.758,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363314.806,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363315.216,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363315.257,0,-31,0,3,21.00,4
0x000000000000000000001116,1514363315.449,0,-32,0,3,21.00,3
0x000000000000000000001116,1514363315.509,0,-33,0,3,21.00,3
0x000000000000000000001116,1514363315.770,0,-33,0,4,21.00,3
0x000000000000000000001116,1514363315.816,0,-33,0,4,21.00,3
0x000000000000000000001116,1514363315.851,0,-31,0,4,21.00,4
0x000000000000000000001116,1514363315.909,0,-31,0,4,21.00,4
0x000000000000000000001116,1514363316.201,0,-33,0,4,21.00,3
0x000000000000000000001116,1514363316.245,0,-32,0,4,21.00,3
0x000000000000000000001116,1514363316.310,0,-32,0,4,21.00,4
0x000000000000000000001116,1514363316.921,0,-32,0,4,21.00,1
0x000000000000000000001116,1514363316.960,0,-32,0,4,21.00,1
