MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:25:45 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514363128.552,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363128.588,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363128.638,0,-19,0,4,21.00,2
0x000000000000000000001278,1514363128.735,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363128.758,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363128.811,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363128.864,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363128.913,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363128.974,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363129.008,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363129.064,0,-19,0,4,21.00,2
0x000000000000000000001278,1514363129.093,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363129.137,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363129.185,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363129.235,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363129.286,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363129.348,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363129.400,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363129.448,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363129.473,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363129.523,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363129.564,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363129.617,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363129.674,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363129.733,0,-20,0,4,21.00,1
0x000000000000000000001278,1514363129.769,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363129.828,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363129.865,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363129.912,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363129.954,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363130.011,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363130.067,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363130.130,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363130.167,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363130.220,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363130.255,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363130.312,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363130.356,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363130.419,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363130.468,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363130.530,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363130.585,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363130.658,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363130.712,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363130.762,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363130.800,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363130.858,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363130.917,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363130.973,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363131.041,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363131.126,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363131.165,0,-19,0,4,21.00,2
0x000000000000000000001278,1514363131.226,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363131.267,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363131.322,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363131.369,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363131.431,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363131.475,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363131.534,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363131.578,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363131.645,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363131.695,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363131.755,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363131.815,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363131.870,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363131.925,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363131.976,0,-20,0,4,21.00,2
0x000000000000000000001278,1514363132.018,0,-19,0,4,21.00,2
0x000000000000000000001278,1514363132.063,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363132.107,0,-22,0,4,21.00,3
0x000000000000000000001278,1514363132.189,0,-22,0,4,21.00,4
0x000000000000000000001278,1514363132.256,0,-23,0,4,21.00,4
0x000000000000000000001278,1514363132.310,0,-21,0,4,21.00,1
0x000000000000000000001278,1514363132.380,0,-21,0,1,21.00,1
0x000000000000000000001278,1514363132.435,0,-20,0,1,21.00,2
0x000000000000000000001278,1514363132.484,0,-20,0,1,21.00,2
0x000000000000000000001278,1514363132.585,0,-21,0,1,21.00,3
0x000000000000000000001278,1514363132.624,0,-21,0,1,21.00,3
0x000000000000000000001278,1514363132.677,0,-22,0,1,21.00,4
0x000000000000000000001278,1514363132.735,0,-22,0,1,21.00,4
0x000000000000000000001278,1514363132.791,0,-21,0,1,21.00,1
0x000000000000000000001278,1514363132.843,0,-21,0,1,21.00,1
0x000000000000000000001278,1514363132.898,0,-20,0,1,21.00,2
0x000000000000000000001278,1514363132.927,0,-21,0,1,21.00,2
0x000000000000000000001278,1514363132.973,0,-22,0,1,21.00,3
0x000000000000000000001278,1514363133.011,0,-22,0,1,21.00,3
0x000000000000000000001278,1514363133.064,0,-22,0,1,21.00,4
0x000000000000000000001278,1514363133.157,0,-22,0,1,21.00,4
0x000000000000000000001278,1514363133.220,0,-21,0,1,21.00,1
0x000000000000000000001278,1514363133.261,0,-21,0,1,21.00,1
0x000000000000000000001278,1514363133.304,0,-20,0,1,21.00,2
0x000000000000000000001278,1514363133.341,0,-20,0,1,21.00,2
0x000000000000000000001278,1514363133.454,0,-22,0,1,21.00,3
0x000000000000000000001278,1514363133.498,0,-22,0,1,21.00,3
0x000000000000000000001278,1514363133.551,0,-22,0,1,21.00,4
0x000000000000000000001278,1514363133.633,0,-22,0,1,21.00,4
