MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:14:19 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001278,1514362438.680,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362438.720,0,-28,0,4,21.00,1
0x000000000000000000001278,1514362438.781,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362438.825,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362439.058,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362439.095,0,-28,0,4,21.00,1
0x000000000000000000001278,1514362439.165,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362439.210,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362439.407,0,-31,0,4,21.00,4
0x000000000000000000001278,1514362439.430,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362439.459,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362439.703,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362439.738,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362439.811,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362439.847,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362440.077,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362440.125,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362440.325,0,-31,0,4,21.00,4
0x000000000000000000001278,1514362440.403,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362440.429,0,-28,0,4,21.00,1
0x000000000000000000001278,1514362440.612,0,-31,0,4,21.00,4
0x000000000000000000001278,1514362440.671,0,-28,0,4,21.00,1
0x000000000000000000001278,1514362440.719,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362440.776,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362440.823,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362441.013,0,-31,0,4,21.00,4
0x000000000000000000001278,1514362441.109,0,-28,0,4,21.00,1
0x000000000000000000001278,1514362441.127,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362441.190,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362441.266,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362441.445,0,-31,0,4,21.00,4
0x000000000000000000001278,1514362441.485,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362441.526,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362441.590,0,-26,0,4,21.00,2
0x000000000000000000001278,1514362441.633,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362441.783,0,-29,0,4,21.00,4
0x000000000000000000001278,1514362441.892,0,-31,0,4,21.00,4
0x000000000000000000001278,1514362441.918,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362441.946,0,-28,0,4,21.00,1
0x000000000000000000001278,1514362442.005,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362442.054,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362442.190,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362442.253,0,-30,0,4,21.00,4
0x000000000000000000001278,1514362442.292,0,-27,0,4,21.00,1
0x000000000000000000001278,1514362442.342,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362442.412,0,-27,0,4,21.00,2
0x000000000000000000001278,1514362442.544,0,-29,0,1,21.00,4
0x000000000000000000001278,1514362442.709,0,-29,0,1,21.00,1
0x000000000000000000001278,1514362442.762,0,-28,0,1,21.00,2
0x000000000000000000001278,1514362442.817,0,-28,0,1,21.00,2
0x000000000000000000001278,1514362442.962,0,-30,0,1,21.00,4
0x000000000000000000001278,1514362443.008,0,-30,0,1,21.00,4
0x000000000000000000001278,1514362443.050,0,-28,0,1,21.00,1
0x000000000000000000001278,1514362443.080,0,-28,0,1,21.00,1
0x000000000000000000001278,1514362443.280,0,-30,0,1,21.00,4
0x000000000000000000001278,1514362443.309,0,-28,0,1,21.00,4
0x000000000000000000001278,1514362443.356,0,-28,0,1,21.00,1
0x000000000000000000001278,1514362443.408,0,-28,0,1,21.00,1
0x000000000000000000001278,1514362443.514,0,-28,0,1,21.00,2
0x000000000000000000001278,1514362443.777,0,-29,0,1,21.00,4
0x000000000000000000001278,1514362443.893,0,-28,0,1,21.00,1
0x000000000000000000001278,1514362443.942,0,-28,0,1,21.00,1
0x000000000000000000001278,1514362444.023,0,-28,0,1,21.00,2
