MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 5:58:02 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001107,1514365060.412,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365060.464,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365060.737,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365060.792,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365061.293,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365061.346,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365061.528,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365061.586,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365061.892,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365062.454,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365062.641,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365063.849,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365063.882,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365064.161,0,-33,0,3,21.00,3
0x000000000000000000001107,1514365064.257,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365064.563,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365064.850,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365065.768,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365066.058,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365066.111,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365066.330,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365066.597,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365066.658,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365067.154,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365067.453,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365067.737,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365067.800,0,-33,0,4,21.00,3
0x000000000000000000001107,1514365068.088,0,-33,0,1,21.00,3
