MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:23:47 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006141,1515669812.321,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669812.368,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669812.423,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669812.466,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669812.521,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669812.572,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669812.630,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669812.676,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669812.735,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669812.773,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669812.834,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669812.879,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669812.944,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669812.991,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669813.048,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669813.094,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669813.150,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669813.198,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669813.253,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669813.289,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669813.349,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669813.398,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669813.451,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669813.498,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669813.551,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669813.596,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669813.650,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669813.701,0,-20,0,2,21.00,2
0x000000000000000000006141,1515669813.758,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669813.804,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669813.856,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669813.899,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669813.960,0,-25,0,2,21.00,1
0x000000000000000000006141,1515669813.996,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669814.054,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669814.101,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669814.156,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669814.202,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669814.255,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669814.301,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669814.357,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669814.408,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669814.473,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669814.521,0,-21,0,2,21.00,2
0x000000000000000000006141,1515669814.574,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669814.618,0,-25,0,2,21.00,3
0x000000000000000000006141,1515669814.680,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669814.738,0,-19,0,2,21.00,4
0x000000000000000000006141,1515669814.790,0,-26,0,2,21.00,1
0x000000000000000000006141,1515669814.840,0,-25,0,2,21.00,1
