MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:54:49 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515671674.846,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671674.896,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671674.980,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671675.023,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671675.113,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671675.161,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671675.241,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671675.341,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671675.414,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671675.487,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671675.553,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671675.589,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671675.671,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671675.712,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671675.830,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671675.872,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671675.949,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671676.002,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671676.046,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671676.136,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671676.233,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671676.311,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671676.473,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671676.521,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671676.591,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671676.619,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671676.749,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671676.792,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671676.868,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671676.932,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671677.005,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671677.179,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671677.219,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671677.304,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671677.336,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671677.425,0,-30,0,2,21.00,3
0x107010349013305354381889,1515671677.444,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671677.515,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671677.559,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671677.679,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671677.725,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671677.812,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671677.859,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671677.942,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671677.990,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671678.034,0,-29,0,2,21.00,3
0x107010349013305354381889,1515671678.087,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671678.168,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671678.198,0,-32,0,2,21.00,4
0x107010349013305354381889,1515671678.254,0,-28,0,2,21.00,3
0x107010349013305354381889,1515671678.304,0,-29,0,2,21.00,3
