MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:41:31 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006151,1515670877.003,0,-26,0,2,21.00,1
0x000000000000000000006151,1515670877.030,0,-26,0,2,21.00,1
0x000000000000000000006151,1515670877.077,0,-19,0,2,21.00,2
0x000000000000000000006151,1515670877.126,0,-19,0,2,21.00,2
0x000000000000000000006151,1515670877.181,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670877.223,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670877.270,0,-21,0,2,21.00,4
0x000000000000000000006151,1515670877.309,0,-21,0,2,21.00,4
0x000000000000000000006151,1515670877.399,0,-27,0,2,21.00,1
0x000000000000000000006151,1515670877.409,0,-26,0,2,21.00,1
0x000000000000000000006151,1515670877.454,0,-19,0,2,21.00,2
0x000000000000000000006151,1515670877.492,0,-19,0,2,21.00,2
0x000000000000000000006151,1515670877.554,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670877.589,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670877.650,0,-21,0,2,21.00,4
0x000000000000000000006151,1515670877.700,0,-21,0,2,21.00,4
0x000000000000000000006151,1515670877.754,0,-25,0,2,21.00,1
0x000000000000000000006151,1515670877.791,0,-26,0,2,21.00,1
0x000000000000000000006151,1515670877.842,0,-19,0,2,21.00,2
0x000000000000000000006151,1515670877.886,0,-19,0,2,21.00,2
0x000000000000000000006151,1515670877.946,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670877.992,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670878.043,0,-21,0,2,21.00,4
0x000000000000000000006151,1515670878.086,0,-21,0,2,21.00,4
0x000000000000000000006151,1515670878.148,0,-26,0,2,21.00,1
0x000000000000000000006151,1515670878.188,0,-26,0,2,21.00,1
0x000000000000000000006151,1515670878.232,0,-19,0,2,21.00,2
0x000000000000000000006151,1515670878.280,0,-19,0,2,21.00,2
0x000000000000000000006151,1515670878.336,0,-25,0,2,21.00,3
0x000000000000000000006151,1515670878.388,0,-24,0,2,21.00,3
0x000000000000000000006151,1515670878.435,0,-21,0,2,21.00,4
0x000000000000000000006151,1515670878.480,0,-21,0,2,21.00,4
