MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:49:13 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1515671338.942,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671339.056,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671339.093,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671339.151,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671339.333,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671339.536,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671339.614,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671339.795,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671339.885,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671339.966,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671340.000,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671340.174,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671340.239,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671340.409,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671340.441,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671340.534,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671340.709,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671340.730,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671340.803,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671340.835,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671340.913,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671340.938,0,-29,0,2,21.00,3
0x107010249722621700351874,1515671341.144,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671341.348,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671341.376,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671341.434,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671341.496,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671341.578,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671341.742,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671341.798,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671342.016,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671342.092,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671342.153,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671342.194,0,-30,0,2,21.00,3
0x107010249722621700351874,1515671342.276,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671342.377,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671342.466,0,-31,0,2,21.00,3
0x107010249722621700351874,1515671342.554,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671342.586,0,-33,0,2,21.00,4
0x107010249722621700351874,1515671342.821,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671342.878,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671342.991,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671343.041,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671343.238,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671343.274,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671343.443,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671343.479,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671343.626,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671343.672,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671343.758,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671343.791,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671343.854,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671343.903,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671343.973,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671344.014,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671344.143,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671344.192,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671344.498,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671344.514,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671344.571,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671344.614,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671344.671,0,-29,0,3,21.00,3
0x107010249722621700351874,1515671344.726,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671344.801,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671344.864,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671344.922,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671344.979,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671345.116,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671345.162,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671345.346,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671345.383,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671345.486,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671345.567,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671345.621,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671345.800,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671345.850,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671345.900,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671346.032,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671346.210,0,-30,0,3,21.00,3
0x107010249722621700351874,1515671346.269,0,-31,0,3,21.00,3
0x107010249722621700351874,1515671346.331,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671346.378,0,-33,0,3,21.00,4
0x107010249722621700351874,1515671346.564,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671346.746,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671346.782,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671346.955,0,-30,0,4,21.00,3
0x107010249722621700351874,1515671347.037,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671347.347,0,-30,0,4,21.00,3
0x107010249722621700351874,1515671347.638,0,-30,0,4,21.00,3
0x107010249722621700351874,1515671347.692,0,-30,0,4,21.00,3
0x107010249722621700351874,1515671347.904,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671347.922,0,-30,0,4,21.00,3
0x107010249722621700351874,1515671347.976,0,-33,0,4,21.00,4
0x107010249722621700351874,1515671348.032,0,-33,0,4,21.00,4
0x107010249722621700351874,1515671348.135,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671348.305,0,-30,0,4,21.00,3
0x107010249722621700351874,1515671348.388,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671348.472,0,-33,0,4,21.00,4
0x107010249722621700351874,1515671348.718,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671348.733,0,-30,0,4,21.00,3
0x107010249722621700351874,1515671348.813,0,-33,0,4,21.00,4
0x107010249722621700351874,1515671349.023,0,-31,0,4,21.00,3
0x107010249722621700351874,1515671349.105,0,-30,0,4,21.00,3
0x107010249722621700351874,1515671349.143,0,-30,0,4,21.00,3
0x107010449013305354211896,1515671338.955,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671339.006,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671339.185,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671339.232,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671339.473,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671339.526,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671339.785,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671339.823,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671339.982,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671340.035,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671340.204,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671340.460,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671340.699,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671340.749,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671340.933,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671341.121,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671341.180,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671341.547,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671341.611,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671341.765,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671341.819,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671342.003,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671342.055,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671342.205,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671342.250,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671342.429,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671342.489,0,-33,0,2,21.00,3
0x107010449013305354211896,1515671342.736,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671342.790,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671343.021,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671343.066,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671343.250,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671343.658,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671343.717,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671343.929,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671344.176,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671344.217,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671344.488,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671344.531,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671344.695,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671344.747,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671344.932,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671344.970,0,-34,0,3,21.00,3
0x107010449013305354211896,1515671345.140,0,-34,0,3,21.00,3
