MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:35:19 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x106020349010851617841853,1515670505.110,0,-34,0,2,21.00,3
0x106020349010851617841853,1515670505.150,0,-34,0,2,21.00,3
0x106020349010851617841853,1515670505.621,0,-34,0,2,21.00,3
0x106020349010851617841853,1515670505.683,0,-34,0,2,21.00,3
0x106020349010851617841853,1515670506.785,0,-34,0,2,21.00,3
0x106020349010851617841853,1515670507.715,0,-34,0,2,21.00,3
0x106020349010851617841853,1515670508.184,0,-34,0,2,21.00,3
0x106020349010851617841853,1515670509.474,0,-34,0,3,21.00,3
0x106020349010851617841853,1515670510.157,0,-34,0,3,21.00,3
0x106020349010851617841853,1515670510.855,0,-34,0,3,21.00,3
0x106020349010851617841853,1515670512.220,0,-34,0,3,21.00,3
0x106020349010851617841853,1515670512.644,0,-34,0,3,21.00,3
0x106020349010851617841853,1515670513.595,0,-34,0,4,21.00,3
0x106020349010851617841853,1515670514.233,0,-34,0,4,21.00,3
0x106020349010851617841853,1515670514.727,0,-34,0,4,21.00,3
0x107010349013305354381889,1515670505.122,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670505.288,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670505.330,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670505.379,0,-30,0,2,21.00,4
0x107010349013305354381889,1515670505.468,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670505.660,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670505.713,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670505.780,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670505.977,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670506.036,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670506.064,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670506.226,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670506.251,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670506.316,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670506.363,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670506.440,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670506.467,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670506.528,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670506.587,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670506.697,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670506.747,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670506.834,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670507.026,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670507.082,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670507.158,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670507.216,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670507.296,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670507.363,0,-30,0,2,21.00,4
0x107010349013305354381889,1515670507.459,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670507.473,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670507.548,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670507.602,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670507.671,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670507.688,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670507.770,0,-31,0,2,21.00,4
0x107010349013305354381889,1515670507.804,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670508.052,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670508.107,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670508.163,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670508.203,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670508.289,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670508.371,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670508.421,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670508.495,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670508.556,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670508.600,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670508.647,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670508.726,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670508.938,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670508.984,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670509.043,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670509.300,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670509.342,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670509.494,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670509.562,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670509.594,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670509.680,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670509.771,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670509.808,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670509.891,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670509.943,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670509.988,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670510.043,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670510.176,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670510.407,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670510.616,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670510.696,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670510.742,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670510.934,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670511.027,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670511.081,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670511.117,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670511.187,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670511.241,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670511.409,0,-31,0,3,21.00,4
0x107010349013305354381889,1515670511.531,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670511.691,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670511.746,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670511.775,0,-30,0,3,21.00,4
