MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:39:03 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515670729.844,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670729.926,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670730.683,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670730.714,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670731.193,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670731.221,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670731.502,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670731.547,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670731.796,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670731.837,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670732.963,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670732.997,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670733.450,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670733.482,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515670734.318,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670734.360,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670734.599,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515670734.629,0,-32,0,3,21.00,1
0x107010349013305354381889,1515670729.958,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670730.011,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670730.194,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670730.238,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670730.313,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670730.352,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670730.516,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670730.778,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670730.800,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670730.862,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670731.015,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670731.325,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670731.363,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670731.583,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670731.641,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670731.711,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670731.760,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670731.873,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670731.927,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670732.000,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670732.145,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670732.205,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670732.256,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670732.305,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670732.360,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670732.424,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670732.597,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670732.644,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670732.763,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670732.809,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670733.101,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670733.288,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670733.351,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670733.394,0,-32,0,2,21.00,4
0x107010349013305354381889,1515670733.521,0,-29,0,2,21.00,3
0x107010349013305354381889,1515670733.586,0,-30,0,2,21.00,3
0x107010349013305354381889,1515670733.780,0,-33,0,3,21.00,2
0x107010349013305354381889,1515670733.821,0,-33,0,3,21.00,2
0x107010349013305354381889,1515670733.851,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670733.905,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670733.947,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670733.999,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670734.056,0,-33,0,3,21.00,2
0x107010349013305354381889,1515670734.086,0,-33,0,3,21.00,2
0x107010349013305354381889,1515670734.130,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670734.170,0,-29,0,3,21.00,3
0x107010349013305354381889,1515670734.227,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670734.274,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670734.412,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670734.466,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670734.510,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670734.546,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670734.707,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670734.816,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670734.913,0,-31,0,3,21.00,3
0x107010349013305354381889,1515670735.158,0,-29,0,3,21.00,3
0x107010349013305354381889,1515670735.246,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670735.345,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670735.397,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670735.475,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670735.518,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670735.596,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670735.654,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670735.721,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670735.813,0,-29,0,3,21.00,3
0x107010349013305354381889,1515670735.874,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670735.952,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670736.054,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670736.115,0,-30,0,3,21.00,3
0x107010349013305354381889,1515670736.193,0,-32,0,3,21.00,4
0x107010349013305354381889,1515670736.250,0,-29,0,3,21.00,3
0x107010349013305354381889,1515670736.301,0,-29,0,3,21.00,3
