MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:26:47 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1517376394.455,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376394.504,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376394.944,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376395.119,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376395.171,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376395.339,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376395.650,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376395.844,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376396.847,0,-34,0,1,21.00,2
0x107010549013305354071900,1517376396.880,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376396.916,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376396.984,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376397.248,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376397.621,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376397.695,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376397.905,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376398.253,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376398.630,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376398.784,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376398.937,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376399.002,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376399.196,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376399.713,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376399.910,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376400.119,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376400.296,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376400.350,0,-32,0,1,21.00,2
0x107010549013305354071900,1517376400.458,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376400.674,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376400.949,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376401.344,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376401.598,0,-33,0,1,21.00,2
