MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:24:58 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211894,1517376285.975,0,-34,0,1,21.00,2
0x107010449013305354211894,1517376286.022,0,-34,0,1,21.00,2
0x107010449013305354211894,1517376289.544,0,-34,0,1,21.00,2
0x107010449013305354211894,1517376289.604,0,-34,0,1,21.00,2
0x107010449013305354211894,1517376290.165,0,-34,0,1,21.00,2
0x107010449013305354211894,1517376290.195,0,-34,0,1,21.00,2
0x107010449013305354211894,1517376295.737,0,-34,0,1,21.00,2
0x000000000000000000004005,1517376285.984,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376286.012,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376286.075,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376286.115,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376286.308,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376286.345,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376286.417,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376286.716,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376286.762,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376286.830,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376286.863,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376287.095,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376287.151,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376287.192,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376287.231,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376287.550,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376287.605,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376287.819,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376287.851,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376288.081,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376288.197,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376288.248,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376288.561,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376288.719,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376288.792,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376288.844,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376288.992,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376289.060,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376289.105,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376289.151,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376289.221,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376289.263,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376289.554,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376289.591,0,-33,0,1,21.00,2
0x000000000000000000004005,1517376289.669,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376289.843,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376290.177,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376290.452,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376290.497,0,-33,0,1,21.00,2
0x000000000000000000004005,1517376290.536,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376290.592,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376290.691,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376290.905,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376290.931,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376291.401,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376291.432,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376291.690,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376291.733,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376291.888,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376291.931,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376292.343,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376292.412,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376292.602,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376292.974,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376293.057,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376293.361,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376293.402,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376293.560,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376293.593,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376294.056,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376294.102,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376294.134,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376294.181,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376294.342,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376294.395,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376294.753,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376294.811,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376295.057,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376295.093,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376295.165,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376295.351,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376295.420,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376295.784,0,-32,0,1,21.00,2
