MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:28:56 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517376521.319,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376521.389,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376521.603,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376521.839,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376522.033,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376522.301,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376522.348,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376522.540,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376523.311,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376523.381,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376523.576,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376523.660,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376524.085,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376524.125,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376524.647,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376524.700,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376524.853,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376524.916,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376525.157,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376525.224,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376525.467,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376525.648,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376525.683,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376525.928,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376526.014,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376526.076,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376526.247,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376526.311,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376526.504,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376526.684,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376526.720,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376526.958,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376527.152,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376527.205,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376527.680,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376527.742,0,-31,0,1,21.00,2
