MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:35:51 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x110010349835865102614942,1517376935.409,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376935.451,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376935.622,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376935.676,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376935.858,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376936.069,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376936.439,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376936.491,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376937.252,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376937.292,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376938.299,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376938.354,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376938.522,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376938.584,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376938.946,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376938.989,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376939.254,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376939.292,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376939.455,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376939.533,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376939.759,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376939.969,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376940.471,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376940.644,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376940.704,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376940.922,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376941.360,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376941.575,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376941.765,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376941.957,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376942.003,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376942.166,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376942.241,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376942.450,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376942.650,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376942.854,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376943.066,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376943.124,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376943.337,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376943.676,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376944.303,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376944.363,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376944.716,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376944.922,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376945.271,0,-34,0,1,21.00,3
0x000000000000000000004005,1517376935.421,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376935.643,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376936.059,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376936.104,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376936.828,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376936.880,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376937.052,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376937.093,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376937.460,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376937.488,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376937.667,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376937.698,0,-30,0,1,21.00,2
0x000000000000000000004005,1517376937.773,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376937.811,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376938.107,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376938.141,0,-27,0,1,21.00,3
0x000000000000000000004005,1517376938.336,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376938.727,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376938.793,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376938.967,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376939.244,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376939.302,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376939.482,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376939.680,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376939.749,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376939.916,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376940.180,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376940.349,0,-30,0,1,21.00,2
0x000000000000000000004005,1517376940.417,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376940.460,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376940.654,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376940.692,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376940.874,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376941.091,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376941.299,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376941.517,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376941.564,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376941.755,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376941.802,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376941.992,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376942.189,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376942.629,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376942.844,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376942.891,0,-30,0,1,21.00,3
0x000000000000000000004005,1517376943.053,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376943.103,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376943.282,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376943.317,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376943.819,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376943.871,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376944.292,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376944.344,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376944.687,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376944.911,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376944.957,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376945.248,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376945.289,0,-29,0,1,21.00,3
0x107010349013305354381891,1517376935.431,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376935.848,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376935.876,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376937.450,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376937.518,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376937.826,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376938.128,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376938.537,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376938.567,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376938.737,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376938.776,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376939.264,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376939.469,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376939.503,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376939.926,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376940.143,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376940.481,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376940.912,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376941.072,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376941.111,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376941.285,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376941.351,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376941.508,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376941.585,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376941.793,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376941.974,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376942.175,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376942.226,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376942.383,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376942.440,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376942.619,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376942.673,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376942.905,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376943.113,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376944.313,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376944.891,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376944.969,0,-33,0,1,21.00,3
0x107010349013305354381891,1517376945.317,0,-33,0,1,21.00,3
0x107010349013305353841887,1517376935.501,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376935.566,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376935.937,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376935.992,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376936.141,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376936.208,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376936.547,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376936.708,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376936.749,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376936.920,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376936.978,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376937.148,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376937.184,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376937.553,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376937.585,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376937.998,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376938.036,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376938.196,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376938.226,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376938.642,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376939.353,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376939.406,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376939.561,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376939.602,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376939.995,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376940.052,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376940.239,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376940.532,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376941.162,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376941.218,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376941.833,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376941.889,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376942.043,0,-32,0,1,21.00,4
0x107010349013305353841887,1517376942.095,0,-33,0,1,21.00,4
0x107010349013305353841887,1517376942.736,0,-33,0,1,21.00,4
