MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:38:09 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517377071.958,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377072.017,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377072.494,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377072.542,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377072.688,0,-31,0,1,21.00,3
0x107010249722621700351874,1517377072.750,0,-31,0,1,21.00,3
0x107010249722621700351874,1517377073.387,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377073.599,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377073.632,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377074.122,0,-31,0,1,21.00,3
0x107010249722621700351874,1517377074.306,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377074.364,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377074.667,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377074.722,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377074.955,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377075.166,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377075.215,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377075.526,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377075.796,0,-31,0,1,21.00,3
0x107010249722621700351874,1517377075.859,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377076.296,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377076.484,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377076.700,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377076.919,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377077.319,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377077.358,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377077.767,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377077.808,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377078.009,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377078.223,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377078.458,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377078.659,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377078.698,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377079.111,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377079.144,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377079.352,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377079.785,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377079.817,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377079.980,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377080.020,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377080.198,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377080.261,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377080.674,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377080.857,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377080.887,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377081.069,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377081.117,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377081.344,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377081.565,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377081.733,0,-32,0,1,21.00,3
0x107010249722621700351874,1517377082.215,0,-32,0,1,21.00,3
0x110010349835865102614942,1517377071.971,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377072.008,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377072.947,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377073.896,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377073.925,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377075.811,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377076.037,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377076.461,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377076.527,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377076.735,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377077.330,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377077.376,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377077.552,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377077.622,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377077.818,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377078.896,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377078.924,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377079.098,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377079.167,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377079.329,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377079.399,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377079.840,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377080.046,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377080.481,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.108,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.280,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.335,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.521,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.552,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.722,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.772,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.946,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377081.977,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377082.163,0,-34,0,1,21.00,3
0x107010349013305354381890,1517377071.981,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377072.410,0,-32,0,1,21.00,2
0x107010349013305354381890,1517377072.483,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377072.531,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377072.698,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377072.738,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377072.924,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377072.983,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377073.148,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377073.207,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377073.376,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377073.417,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377073.614,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377073.717,0,-34,0,1,21.00,4
0x107010349013305354381890,1517377073.905,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377074.112,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377074.159,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377074.677,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377074.733,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377074.985,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377075.178,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377075.225,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377075.504,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377075.544,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377076.028,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377076.084,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377076.518,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377076.679,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377076.724,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377076.896,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377076.961,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377077.104,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377077.153,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377077.340,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377077.979,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377078.029,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377078.204,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377078.243,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377078.435,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377078.497,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377078.679,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377078.936,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377079.126,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377079.341,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377079.372,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377079.775,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377079.827,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377079.989,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377080.036,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377080.248,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377080.424,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377080.469,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377080.632,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377080.686,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377080.840,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377080.897,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377081.052,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377081.575,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377081.762,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377081.956,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377082.139,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377082.188,0,-29,0,1,21.00,3
0x108010149872360088493236,1517377072.041,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377072.115,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377072.260,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377072.311,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377072.600,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377072.777,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377072.829,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377073.010,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377073.072,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377073.272,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377073.455,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377073.507,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377073.673,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377073.723,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377073.978,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377074.023,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377074.421,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377074.444,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377074.600,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377074.749,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377074.795,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377075.021,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377075.074,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377075.251,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377075.292,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377075.378,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377075.420,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377075.601,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377075.637,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377075.874,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377075.924,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377076.098,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377076.157,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377076.364,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377076.544,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377076.593,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377076.764,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377076.811,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377076.980,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377077.026,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377077.186,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377077.232,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377077.406,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377077.454,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377077.662,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377077.678,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377077.845,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377077.892,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377078.290,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377078.348,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377078.523,0,-29,0,1,21.00,4
0x108010149872360088493236,1517377078.573,0,-30,0,1,21.00,4
0x108010149872360088493236,1517377078.738,0,-29,0,1,21.00,4
