MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:51:43 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517377891.492,0,-26,0,1,21.00,3
0x107010349013305354381890,1517377891.974,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377892.239,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377892.740,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377892.782,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377892.974,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377893.212,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377893.293,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377893.506,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377893.577,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377893.780,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377893.979,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377894.176,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377894.389,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377894.727,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377894.783,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377894.961,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377895.172,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377895.483,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377895.676,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377895.852,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377895.898,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377896.082,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377896.115,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377896.267,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377896.334,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377896.380,0,-34,0,1,21.00,4
0x107010349013305354381890,1517377896.417,0,-34,0,1,21.00,4
0x107010349013305354381890,1517377896.514,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377897.192,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377897.410,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377897.446,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377897.629,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377897.677,0,-29,0,1,21.00,3
0x107010349013305354381890,1517377897.776,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377897.891,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377898.466,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377898.550,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377898.637,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377898.737,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377898.870,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377898.947,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377899.023,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377899.095,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377899.223,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377899.284,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377899.349,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377899.428,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377899.522,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377899.570,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377899.880,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377899.961,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377900.052,0,-31,0,1,21.00,2
0x107010349013305354381890,1517377900.150,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377900.257,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377900.491,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377900.729,0,-28,0,1,21.00,3
0x107010349013305354381890,1517377900.890,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377901.036,0,-33,0,1,21.00,4
0x107010349013305354381890,1517377901.086,0,-27,0,1,21.00,3
0x107010349013305354381890,1517377901.166,0,-28,0,1,21.00,3
0x107010549013305354071900,1517377891.506,0,-34,0,1,21.00,3
0x107010549013305354071900,1517377891.559,0,-34,0,1,21.00,3
0x107010549013305354071900,1517377892.460,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377892.751,0,-34,0,1,21.00,3
0x107010549013305354071900,1517377892.804,0,-34,0,1,21.00,3
0x107010549013305354071900,1517377893.024,0,-34,0,1,21.00,3
0x107010549013305354071900,1517377893.321,0,-34,0,1,21.00,3
