MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:54:42 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517378069.920,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378069.981,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378070.281,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378070.466,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378070.673,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378070.862,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378070.908,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378071.089,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378071.139,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378071.682,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378071.884,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378072.060,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378072.244,0,-31,0,1,21.00,2
0x000000000000000000004005,1517378072.316,0,-30,0,1,21.00,2
0x000000000000000000004005,1517378072.418,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378072.610,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378072.775,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378072.822,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378072.986,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378073.037,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378073.223,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378073.267,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378073.438,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378073.487,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378073.644,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378073.766,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378073.930,0,-30,0,1,21.00,2
0x000000000000000000004005,1517378073.967,0,-30,0,1,21.00,2
0x000000000000000000004005,1517378074.028,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378074.061,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378074.224,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378074.301,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378074.506,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378074.663,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378074.713,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378074.874,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378074.921,0,-29,0,1,21.00,3
0x000000000000000000004005,1517378075.097,0,-30,0,1,21.00,3
0x000000000000000000004005,1517378075.132,0,-30,0,1,21.00,3
