MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:46:43 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x110010349835865102614942,1517377589.877,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377589.950,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377590.161,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377590.569,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377590.771,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377590.812,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377590.990,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377591.030,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377591.502,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377591.576,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377591.748,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377592.126,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377592.168,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377592.673,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377592.959,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377593.014,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377593.428,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377593.495,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377595.172,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377595.363,0,-34,0,1,21.00,3
0x110010349835865102614942,1517377596.345,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377596.553,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377596.582,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377596.861,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377596.914,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377598.137,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377598.200,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377598.401,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377598.668,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377598.938,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377599.593,0,-33,0,1,21.00,3
0x110010349835865102614942,1517377600.117,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377589.889,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377589.923,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377590.115,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377590.171,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377590.365,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377590.559,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377590.623,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377590.842,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377591.054,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377591.335,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377591.548,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377591.951,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377592.416,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377592.468,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377592.652,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377592.711,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377593.237,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377593.282,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377593.743,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377593.937,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377593.997,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377594.188,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377594.902,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377594.957,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377595.122,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377595.151,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377595.326,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377595.386,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377595.584,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377595.788,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377596.324,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377596.379,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377597.077,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377597.143,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377597.392,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377597.848,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377597.911,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377598.346,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377598.686,0,-34,0,1,21.00,3
0x107010549013305354071900,1517377599.270,0,-33,0,1,21.00,3
0x107010549013305354071900,1517377599.582,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377589.898,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377589.999,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377590.027,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377590.423,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377590.464,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377590.872,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377590.904,0,-29,0,1,21.00,4
0x107010145263633097661864,1517377591.286,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377591.392,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377591.431,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377591.527,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377591.616,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377591.658,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377591.730,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377591.942,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377591.978,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377592.114,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377592.157,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377592.435,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377592.538,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377593.042,0,-30,0,1,21.00,4
0x107010145263633097661864,1517377593.109,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377593.226,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377593.270,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377593.329,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377593.484,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377593.732,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377593.762,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377593.831,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377593.863,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377593.947,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377594.034,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377594.091,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377594.311,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377594.461,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377594.503,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377594.718,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377595.212,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377595.253,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377595.317,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377595.463,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377595.530,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377595.597,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377595.711,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377595.778,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377595.811,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377596.114,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377596.155,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377596.335,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377596.366,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377596.881,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377597.094,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377597.133,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377597.372,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377597.421,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377597.473,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377597.587,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377597.640,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377597.693,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377597.929,0,-30,0,1,21.00,4
0x107010145263633097661864,1517377598.174,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377598.369,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377598.465,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377598.763,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377598.917,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377598.970,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377599.148,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377599.181,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377599.684,0,-31,0,1,21.00,4
0x107010145263633097661864,1517377599.906,0,-33,0,1,21.00,3
0x107010145263633097661864,1517377599.955,0,-31,0,1,21.00,4
0x107010349013305354381891,1517377589.940,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377590.106,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377590.143,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377590.346,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377590.792,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377592.968,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377593.005,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377594.139,0,-33,0,1,21.00,3
0x107010349013305354381891,1517377594.198,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377596.124,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377596.169,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377596.542,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377596.601,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377597.871,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377598.152,0,-34,0,1,21.00,3
0x107010349013305354381891,1517377600.106,0,-34,0,1,21.00,3
0x108010249015513382523249,1517377589.988,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377590.499,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377590.708,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377593.822,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377594.044,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377595.882,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377596.021,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377596.208,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377596.254,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377596.670,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377596.959,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377597.596,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377597.791,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377599.036,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377599.364,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377599.436,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377599.715,0,-33,0,1,21.00,4
0x108010249015513382523249,1517377599.965,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377590.009,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377590.689,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377591.110,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377591.817,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377591.843,0,-30,0,1,21.00,4
0x107010349013305353841887,1517377592.517,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377592.604,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377592.801,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377593.081,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377596.236,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377596.973,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377597.231,0,-32,0,1,21.00,4
0x107010349013305353841887,1517377599.022,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377599.190,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377599.672,0,-33,0,1,21.00,4
0x107010349013305353841887,1517377599.996,0,-33,0,1,21.00,4
0x000000000000000000004005,1517377590.125,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377590.336,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377590.377,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377590.544,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377590.588,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377591.012,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377591.273,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377591.310,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377591.711,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377591.763,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377592.661,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377592.698,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377592.879,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377592.927,0,-33,0,1,21.00,2
0x000000000000000000004005,1517377593.247,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377593.449,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377593.714,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377593.777,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377593.927,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377593.965,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377594.149,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377594.405,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377594.582,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377594.635,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377594.817,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377594.857,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377594.926,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377595.112,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377595.376,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377596.134,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377597.660,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377597.858,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377597.889,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377598.125,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377598.413,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377598.696,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377599.249,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377599.292,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377599.472,0,-32,0,1,21.00,2
0x000000000000000000004005,1517377599.611,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377599.847,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377599.897,0,-30,0,1,21.00,3
0x000000000000000000004005,1517377600.130,0,-30,0,1,21.00,3
0x108010149872360088493237,1517377590.212,0,-33,0,1,21.00,4
0x108010149872360088493237,1517377590.269,0,-33,0,1,21.00,4
0x108010149872360088493237,1517377590.666,0,-33,0,1,21.00,4
0x108010149872360088493237,1517377590.727,0,-33,0,1,21.00,4
0x108010149872360088493237,1517377590.920,0,-33,0,1,21.00,4
0x108010149872360088493237,1517377591.827,0,-33,0,1,21.00,4
0x108010149872360088493237,1517377591.877,0,-33,0,1,21.00,4
0x108010149872360088493237,1517377592.312,0,-33,0,1,21.00,4
0x108010149872360088493237,1517377592.349,0,-33,0,1,21.00,4
