MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:25:01 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515673487.088,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673487.135,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673487.604,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673487.648,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673487.806,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673487.872,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673488.463,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673488.498,0,-34,0,2,21.00,1
0x107010549013305354071900,1515673488.999,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673489.025,0,-34,0,2,21.00,1
0x107010549013305354071900,1515673489.528,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673489.574,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673490.701,0,-33,0,2,21.00,1
0x107010549013305354071900,1515673490.723,0,-34,0,2,21.00,1
0x107010549013305354071900,1515673493.153,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673493.203,0,-33,0,3,21.00,1
0x107010549013305354071900,1515673494.709,0,-34,0,4,21.00,4
0x107010549013305354071900,1515673494.751,0,-34,0,4,21.00,4
0x107010549013305354071900,1515673494.797,0,-34,0,4,21.00,1
0x107010549013305354071900,1515673494.827,0,-33,0,4,21.00,1
0x107010549013305354071900,1515673494.995,0,-34,0,4,21.00,4
0x107010549013305354071900,1515673495.211,0,-34,0,4,21.00,4
0x107010549013305354071900,1515673495.842,0,-34,0,4,21.00,1
0x107010549013305354071900,1515673495.879,0,-33,0,4,21.00,1
0x107010549013305354071900,1515673496.289,0,-34,0,4,21.00,4
0x107010549013305354071900,1515673496.785,0,-34,0,4,21.00,4
0x107010549013305354071900,1515673497.005,0,-34,0,4,21.00,4
0x107010549013305354071900,1515673497.203,0,-34,0,4,21.00,4
0x00b07a139010bc913000c7d3,1515673487.099,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673487.147,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673487.588,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673487.634,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673487.819,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673487.862,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673488.448,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673488.508,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673488.987,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673489.039,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673489.513,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673489.561,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673490.686,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673490.734,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515673493.134,0,-32,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515673493.184,0,-32,0,3,21.00,1
0x107010349013305354381889,1515673487.182,0,-28,0,2,21.00,3
0x107010349013305354381889,1515673487.212,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673487.278,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673487.313,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673487.376,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673487.419,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673487.479,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673487.540,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673487.682,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673487.769,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673487.960,0,-28,0,2,21.00,3
0x107010349013305354381889,1515673488.114,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673488.167,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673488.237,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673488.295,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673488.350,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673488.383,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673488.545,0,-28,0,2,21.00,3
0x107010349013305354381889,1515673488.599,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673488.679,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673488.728,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673488.864,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673489.073,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673489.162,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673489.236,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673489.296,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673489.380,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673489.462,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673489.615,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673489.656,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673489.804,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673489.875,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673489.925,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673489.968,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673490.021,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673490.056,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673490.143,0,-28,0,2,21.00,3
0x107010349013305354381889,1515673490.185,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673490.271,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673490.316,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673490.468,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673490.514,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673490.580,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673490.824,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673490.914,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673490.966,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673491.028,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673491.242,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673491.297,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673491.369,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673491.419,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673491.535,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673491.583,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673491.664,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673491.711,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673491.801,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673491.842,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673491.892,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673491.959,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673492.009,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673492.048,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673492.110,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673492.146,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.222,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.266,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.342,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673492.372,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673492.435,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.479,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.565,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.603,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.689,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673492.720,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673492.778,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.858,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673492.910,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673492.956,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673493.032,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673493.083,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673493.233,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673493.302,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673493.355,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673493.385,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673493.478,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673493.566,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673493.600,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673493.676,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673493.732,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673493.775,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673493.848,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673493.903,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673493.952,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673494.033,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673494.060,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673494.128,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673494.174,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673494.257,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673494.307,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673494.345,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673494.384,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673494.463,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673494.507,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673494.552,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673494.631,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673494.739,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673494.868,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673494.907,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673494.985,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673495.036,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673495.118,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673495.291,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673495.346,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673495.498,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673495.525,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673495.609,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673495.674,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673495.749,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673495.917,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673495.953,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673496.032,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673496.187,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673496.222,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673496.305,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673496.346,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673496.399,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673496.468,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673496.505,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673496.579,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673496.652,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673496.729,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673496.760,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673496.818,0,-30,0,4,21.00,3
0x107010349013305354381889,1515673496.865,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673496.932,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673496.995,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673497.034,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673497.086,0,-29,0,4,21.00,3
0x107010349013305354381889,1515673497.164,0,-32,0,4,21.00,4
0x107010349013305354381889,1515673497.193,0,-32,0,4,21.00,4
0x107010449013305354211896,1515673487.223,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673487.409,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673487.443,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673487.717,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673487.743,0,-33,0,2,21.00,3
0x107010449013305354211896,1515673487.938,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673487.989,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673488.139,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673488.198,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673488.365,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673488.408,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673488.569,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673488.627,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673488.881,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673488.916,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673489.087,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673489.133,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673489.333,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673489.365,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673489.635,0,-33,0,2,21.00,3
0x107010449013305354211896,1515673489.670,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673489.837,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673489.886,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673490.036,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673490.086,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673490.177,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673490.282,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673490.341,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673490.501,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673490.542,0,-34,0,2,21.00,3
0x107010449013305354211896,1515673490.810,0,-33,0,2,21.00,3
0x107010449013305354211896,1515673490.854,0,-33,0,2,21.00,3
0x107010449013305354211896,1515673491.267,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673491.308,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673491.565,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673491.597,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673491.706,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673491.910,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673491.969,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.131,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.169,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.236,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.281,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.450,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.524,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.619,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.802,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.845,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.938,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673492.993,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673493.314,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673493.398,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673493.578,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673493.616,0,-34,0,3,21.00,3
0x107010449013305354211896,1515673493.791,0,-34,0,3,21.00,3
