MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:17:09 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006181,1515673014.233,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673014.284,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673014.332,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673014.375,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673014.437,0,-26,0,2,21.00,3
0x000000000000000000006181,1515673014.473,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673014.532,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673014.556,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673014.608,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673014.644,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673014.695,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673014.742,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673014.798,0,-26,0,2,21.00,3
0x000000000000000000006181,1515673014.847,0,-26,0,2,21.00,3
0x000000000000000000006181,1515673014.907,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673014.948,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673015.004,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673015.050,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673015.102,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673015.144,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673015.198,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673015.250,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673015.344,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673015.409,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673015.461,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673015.512,0,-22,0,2,21.00,2
0x000000000000000000006181,1515673015.558,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673015.616,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673015.654,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673015.702,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673015.797,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673015.844,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673015.893,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673015.940,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673015.995,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673016.038,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673016.089,0,-27,0,2,21.00,4
0x000000000000000000006181,1515673016.132,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673016.218,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673016.240,0,-25,0,2,21.00,1
0x000000000000000000006181,1515673016.285,0,-21,0,2,21.00,2
0x000000000000000000006181,1515673016.335,0,-22,0,2,21.00,2
0x000000000000000000006181,1515673016.389,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673016.432,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673016.482,0,-28,0,2,21.00,4
0x000000000000000000006181,1515673016.529,0,-27,0,2,21.00,4
