MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:15:34 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515672920.096,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672920.173,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672920.212,0,-34,0,2,21.00,4
0x107010349013305354381889,1515672920.357,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672920.539,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672920.587,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672920.659,0,-33,0,2,21.00,4
0x107010349013305354381889,1515672920.808,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672920.993,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672921.031,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672921.258,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672921.308,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672921.411,0,-33,0,2,21.00,4
0x107010349013305354381889,1515672921.543,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672921.793,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672921.824,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672921.923,0,-34,0,2,21.00,4
0x107010349013305354381889,1515672922.017,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672922.102,0,-30,0,2,21.00,3
0x107010349013305354381889,1515672922.274,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672922.360,0,-33,0,2,21.00,4
0x107010349013305354381889,1515672922.573,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672922.655,0,-34,0,2,21.00,4
0x107010349013305354381889,1515672922.688,0,-33,0,2,21.00,4
0x107010349013305354381889,1515672922.739,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672922.781,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672922.871,0,-33,0,2,21.00,4
0x107010349013305354381889,1515672923.039,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672923.086,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672923.250,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672923.302,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672923.472,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672923.512,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672923.659,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672923.708,0,-29,0,2,21.00,3
0x107010349013305354381889,1515672923.899,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672923.940,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672924.155,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672924.364,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672924.534,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672924.596,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672924.763,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672924.815,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672924.984,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672925.023,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672925.288,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672925.307,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672925.465,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672925.503,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672925.711,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672925.885,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672925.928,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672926.111,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672926.129,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672926.299,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672926.334,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672926.498,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672926.542,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672926.716,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672926.755,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672926.934,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672926.983,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672927.065,0,-33,0,3,21.00,4
0x107010349013305354381889,1515672927.170,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672927.201,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672927.369,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672927.398,0,-29,0,3,21.00,3
0x107010349013305354381889,1515672927.616,0,-30,0,3,21.00,3
0x107010349013305354381889,1515672927.805,0,-31,0,4,21.00,3
0x107010349013305354381889,1515672927.840,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672927.991,0,-30,0,4,21.00,3
0x107010349013305354381889,1515672928.036,0,-30,0,4,21.00,3
0x107010349013305354381889,1515672928.256,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672928.436,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672928.469,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672928.637,0,-30,0,4,21.00,3
0x107010349013305354381889,1515672928.834,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672928.906,0,-31,0,4,21.00,3
0x107010349013305354381889,1515672929.066,0,-30,0,4,21.00,3
0x107010349013305354381889,1515672929.124,0,-31,0,4,21.00,3
0x107010349013305354381889,1515672929.295,0,-31,0,4,21.00,3
0x107010349013305354381889,1515672929.352,0,-31,0,4,21.00,3
0x107010349013305354381889,1515672929.507,0,-30,0,4,21.00,3
0x107010349013305354381889,1515672929.544,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672929.743,0,-31,0,4,21.00,3
0x107010349013305354381889,1515672929.772,0,-30,0,4,21.00,3
0x107010349013305354381889,1515672929.943,0,-29,0,4,21.00,3
0x107010349013305354381889,1515672930.008,0,-31,0,4,21.00,3
0x107010349013305354381889,1515672930.159,0,-30,0,4,21.00,3
0x107010349013305354381889,1515672930.233,0,-31,0,4,21.00,3
0x107010449013305354211896,1515672920.113,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672920.184,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672920.389,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672920.776,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672920.838,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672921.007,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672921.067,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672921.299,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672921.532,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672921.574,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672921.816,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672922.038,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672922.089,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672922.259,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672922.290,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672922.536,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672922.596,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672923.079,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672923.283,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672923.315,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672923.494,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672923.747,0,-33,0,2,21.00,3
0x107010449013305354211896,1515672923.963,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672924.344,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672924.388,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672924.778,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672925.526,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672925.906,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672926.144,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672926.522,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672926.786,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672926.958,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672927.429,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672927.608,0,-33,0,3,21.00,3
0x107010449013305354211896,1515672927.831,0,-33,0,4,21.00,3
0x107010449013305354211896,1515672928.022,0,-33,0,4,21.00,3
0x107010449013305354211896,1515672928.280,0,-34,0,4,21.00,3
0x107010449013305354211896,1515672929.308,0,-33,0,4,21.00,3
0x107010449013305354211896,1515672929.576,0,-34,0,4,21.00,3
0x107010449013305354211896,1515672929.754,0,-33,0,4,21.00,3
0x107010449013305354211896,1515672930.210,0,-34,0,4,21.00,3
0x107010449013305354141899,1515672920.123,0,-33,0,2,21.00,3
0x107010449013305354141899,1515672920.156,0,-34,0,2,21.00,3
0x107010449013305354141899,1515672920.338,0,-34,0,2,21.00,3
0x107010449013305354141899,1515672920.370,0,-34,0,2,21.00,3
0x107010449013305354141899,1515672920.567,0,-34,0,2,21.00,3
0x107010449013305354141899,1515672920.605,0,-34,0,2,21.00,3
0x107010449013305354141899,1515672921.805,0,-33,0,2,21.00,3
0x107010449013305354141899,1515672921.838,0,-33,0,2,21.00,3
0x107010449013305354141899,1515672922.247,0,-33,0,2,21.00,3
0x107010449013305354141899,1515672922.300,0,-33,0,2,21.00,3
0x107010449013305354141899,1515672922.545,0,-33,0,2,21.00,3
0x107010449013305354141899,1515672923.721,0,-33,0,2,21.00,3
0x107010449013305354141899,1515672923.910,0,-34,0,3,21.00,3
0x107010449013305354141899,1515672924.830,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672925.297,0,-34,0,3,21.00,3
0x107010449013305354141899,1515672925.478,0,-34,0,3,21.00,3
0x107010449013305354141899,1515672925.729,0,-34,0,3,21.00,3
0x107010449013305354141899,1515672926.123,0,-34,0,3,21.00,3
0x107010449013305354141899,1515672926.510,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672926.561,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672926.737,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672926.796,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672926.969,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672927.000,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672927.185,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672927.414,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672927.587,0,-33,0,3,21.00,3
0x107010449013305354141899,1515672927.637,0,-34,0,3,21.00,3
0x107010449013305354141899,1515672927.818,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672927.858,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672928.009,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672928.058,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672928.226,0,-34,0,4,21.00,3
0x107010449013305354141899,1515672928.298,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672928.488,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672928.650,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672928.697,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672928.867,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672928.896,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672929.083,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672929.143,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672929.566,0,-34,0,4,21.00,3
0x107010449013305354141899,1515672929.764,0,-33,0,4,21.00,3
0x107010449013305354141899,1515672929.963,0,-33,0,4,21.00,3
0x107010249722621700351874,1515672920.138,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672920.581,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672920.799,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672920.828,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672920.988,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672921.052,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672921.273,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672921.310,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672921.500,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672921.551,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672921.778,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672921.826,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672922.077,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672922.268,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672922.522,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672922.585,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672922.755,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672922.778,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672923.053,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672923.088,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672923.255,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672923.343,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672923.511,0,-30,0,2,21.00,3
0x107010249722621700351874,1515672923.690,0,-31,0,2,21.00,3
0x107010249722621700351874,1515672923.705,0,-29,0,2,21.00,3
0x107010249722621700351874,1515672923.887,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672923.937,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672924.142,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672924.165,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672924.321,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672924.366,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672924.554,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672924.606,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672924.759,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672924.995,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672925.043,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672925.276,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672925.306,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672925.467,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672925.507,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672925.683,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672925.713,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672925.888,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672925.924,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672926.094,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672926.131,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672926.314,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672926.333,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672926.537,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672926.713,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672926.752,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672926.982,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672927.154,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672927.225,0,-31,0,3,21.00,3
0x107010249722621700351874,1515672927.366,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672927.397,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672927.571,0,-30,0,3,21.00,3
0x107010249722621700351874,1515672927.617,0,-29,0,3,21.00,3
0x107010249722621700351874,1515672927.791,0,-30,0,4,21.00,3
0x107010249722621700351874,1515672927.838,0,-30,0,4,21.00,3
