MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:21:08 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515673255.323,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673255.386,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673255.455,0,-32,0,2,21.00,4
0x107010349013305354381889,1515673255.623,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673255.698,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673255.850,0,-28,0,2,21.00,3
0x107010349013305354381889,1515673255.888,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673255.958,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673256.030,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673256.112,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673256.270,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673256.315,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673256.489,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673256.534,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673256.776,0,-28,0,2,21.00,3
0x107010349013305354381889,1515673256.831,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673256.890,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673256.965,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673257.130,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673257.400,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673257.451,0,-30,0,2,21.00,3
0x107010349013305354381889,1515673257.706,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673257.748,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673257.940,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673257.985,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673258.076,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673258.134,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673258.298,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673258.387,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673258.565,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673258.616,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673258.683,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673258.724,0,-31,0,2,21.00,4
0x107010349013305354381889,1515673258.786,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673258.835,0,-29,0,2,21.00,3
0x107010349013305354381889,1515673259.144,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673259.180,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673259.259,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673259.304,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673259.448,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673259.495,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673259.584,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673259.654,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673259.695,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673259.749,0,-31,0,3,21.00,4
0x107010349013305354381889,1515673259.810,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673259.890,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673259.956,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673259.986,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673260.087,0,-30,0,3,21.00,3
0x107010349013305354381889,1515673260.160,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673260.205,0,-32,0,3,21.00,4
0x107010349013305354381889,1515673260.259,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673260.310,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673260.490,0,-29,0,3,21.00,3
0x107010349013305354381889,1515673260.535,0,-28,0,3,21.00,3
