MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 9:29:40 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006181,1515673760.313,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673760.365,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673760.420,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673760.461,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673760.656,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673760.700,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673760.752,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673760.799,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673760.877,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673760.922,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673760.973,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673761.027,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673761.197,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673761.241,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673761.290,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673761.332,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673761.503,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673761.544,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673761.602,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673761.651,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673761.931,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673761.976,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673762.036,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673762.071,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673762.237,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673762.282,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673762.333,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673762.376,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673762.544,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673762.579,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673762.660,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673762.704,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673762.863,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673762.909,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673762.964,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673763.001,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673763.077,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673763.124,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673763.177,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673763.219,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673763.291,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673763.324,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673763.383,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673763.431,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673763.502,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673763.553,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673763.614,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673763.653,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673763.929,0,-28,0,2,21.00,3
0x000000000000000000006181,1515673763.982,0,-27,0,2,21.00,3
0x000000000000000000006181,1515673764.040,0,-24,0,2,21.00,4
0x000000000000000000006181,1515673764.095,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673764.165,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673764.213,0,-27,0,3,21.00,3
0x000000000000000000006181,1515673764.275,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673764.319,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673764.484,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673764.528,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673764.586,0,-25,0,3,21.00,4
0x000000000000000000006181,1515673764.614,0,-25,0,3,21.00,4
0x000000000000000000006181,1515673764.677,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673764.735,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673764.782,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673764.807,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673764.874,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673764.920,0,-27,0,3,21.00,3
0x000000000000000000006181,1515673764.982,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673765.028,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673765.202,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673765.257,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673765.309,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673765.350,0,-25,0,3,21.00,4
0x000000000000000000006181,1515673765.514,0,-27,0,3,21.00,3
0x000000000000000000006181,1515673765.555,0,-27,0,3,21.00,3
0x000000000000000000006181,1515673765.622,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673765.672,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673765.915,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673765.970,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673766.019,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673766.060,0,-25,0,3,21.00,4
0x000000000000000000006181,1515673766.136,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673766.184,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673766.240,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673766.292,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673766.362,0,-27,0,3,21.00,3
0x000000000000000000006181,1515673766.414,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673766.464,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673766.515,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673766.677,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673766.715,0,-27,0,3,21.00,3
0x000000000000000000006181,1515673766.771,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673766.816,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673766.883,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673766.934,0,-27,0,3,21.00,3
0x000000000000000000006181,1515673766.998,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673767.038,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673767.194,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673767.240,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673767.287,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673767.331,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673767.409,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673767.451,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673767.507,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673767.554,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673767.718,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673767.760,0,-28,0,3,21.00,3
0x000000000000000000006181,1515673767.821,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673767.865,0,-24,0,3,21.00,4
0x000000000000000000006181,1515673768.072,0,-29,0,4,21.00,3
0x000000000000000000006181,1515673768.150,0,-29,0,4,21.00,3
0x000000000000000000006181,1515673768.211,0,-25,0,4,21.00,4
0x000000000000000000006181,1515673768.440,0,-29,0,4,21.00,3
0x000000000000000000006181,1515673768.501,0,-24,0,4,21.00,4
0x000000000000000000006181,1515673768.552,0,-25,0,4,21.00,4
0x000000000000000000006181,1515673768.718,0,-25,0,4,21.00,4
0x000000000000000000006181,1515673768.768,0,-25,0,4,21.00,4
0x000000000000000000006181,1515673768.976,0,-29,0,4,21.00,3
0x000000000000000000006181,1515673769.031,0,-24,0,4,21.00,4
0x000000000000000000006181,1515673769.074,0,-24,0,4,21.00,4
0x000000000000000000006181,1515673769.416,0,-29,0,4,21.00,3
0x000000000000000000006181,1515673769.482,0,-24,0,4,21.00,4
0x000000000000000000006181,1515673769.529,0,-24,0,4,21.00,4
0x000000000000000000006181,1515673769.631,0,-29,0,4,21.00,3
0x000000000000000000006181,1515673769.666,0,-29,0,4,21.00,3
0x000000000000000000006181,1515673769.707,0,-24,0,4,21.00,4
0x000000000000000000006181,1515673769.746,0,-24,0,4,21.00,4
0x000000000000000000006181,1515673769.964,0,-29,0,4,21.00,3
0x107010249722621700351874,1515673760.325,0,-31,0,2,21.00,3
0x107010249722621700351874,1515673760.379,0,-31,0,2,21.00,3
0x107010249722621700351874,1515673760.445,0,-33,0,2,21.00,4
0x107010249722621700351874,1515673760.496,0,-33,0,2,21.00,4
0x107010249722621700351874,1515673760.660,0,-29,0,2,21.00,3
0x107010249722621700351874,1515673760.702,0,-30,0,2,21.00,3
0x107010249722621700351874,1515673760.795,0,-33,0,2,21.00,4
0x107010249722621700351874,1515673760.893,0,-31,0,2,21.00,3
0x107010249722621700351874,1515673760.958,0,-31,0,2,21.00,3
0x107010249722621700351874,1515673761.062,0,-33,0,2,21.00,4
0x107010249722621700351874,1515673761.238,0,-29,0,2,21.00,3
0x107010249722621700351874,1515673761.312,0,-33,0,2,21.00,4
0x107010249722621700351874,1515673761.372,0,-33,0,2,21.00,4
0x107010249722621700351874,1515673761.550,0,-30,0,2,21.00,3
0x107010249722621700351874,1515673761.929,0,-30,0,2,21.00,3
