MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:00:19 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006011,1517364005.781,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364005.827,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364005.879,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364005.931,0,-24,0,1,21.00,4
0x000000000000000000006011,1517364005.971,0,-25,0,1,21.00,4
0x000000000000000000006011,1517364006.033,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364006.061,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364006.114,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364006.164,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364006.222,0,-24,0,1,21.00,4
0x000000000000000000006011,1517364006.275,0,-25,0,1,21.00,4
0x000000000000000000006011,1517364006.339,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364006.375,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364006.421,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364006.474,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364006.528,0,-24,0,1,21.00,4
0x000000000000000000006011,1517364006.566,0,-24,0,1,21.00,4
0x000000000000000000006011,1517364006.634,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364006.671,0,-21,0,1,21.00,2
0x000000000000000000006011,1517364006.717,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364006.759,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364006.826,0,-25,0,1,21.00,4
0x000000000000000000006011,1517364006.852,0,-24,0,1,21.00,4
0x000000000000000000006011,1517364006.913,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364006.949,0,-22,0,1,21.00,2
0x000000000000000000006011,1517364006.998,0,-21,0,1,21.00,3
0x000000000000000000006011,1517364007.043,0,-21,0,1,21.00,3
