MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:05:26 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006011,1517364312.952,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364312.985,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364313.033,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364313.085,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364313.126,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364313.189,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364313.237,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364313.288,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364313.317,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364313.350,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364313.391,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364313.443,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364313.491,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364313.553,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364313.600,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364313.668,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364313.693,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364313.726,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364313.770,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364313.833,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364313.880,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364313.934,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364313.981,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364314.036,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364314.061,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364314.099,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364314.141,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364314.203,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364314.241,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364314.294,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364314.336,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364314.393,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364314.422,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364314.456,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364314.504,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364314.567,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364314.614,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364314.665,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364314.713,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364314.776,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364314.801,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364314.836,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364314.882,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364314.941,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364314.977,0,-22,0,1,21.00,3
0x000000000000000000006011,1517364315.034,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364315.083,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364315.142,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364315.178,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364315.211,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364315.250,0,-19,0,1,21.00,2
0x000000000000000000006011,1517364315.314,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364315.360,0,-22,0,1,21.00,3
0x000000000000000000006011,1517364315.418,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364315.476,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364315.529,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364315.581,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364315.628,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364315.672,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364315.752,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364315.799,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364315.846,0,-21,0,1,21.00,4
0x000000000000000000006011,1517364315.901,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364315.964,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364315.992,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364316.028,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364316.081,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364316.136,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364316.183,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364316.240,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364316.286,0,-20,0,1,21.00,4
0x000000000000000000006011,1517364316.337,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364316.367,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364316.400,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364316.449,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364316.505,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364316.552,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364316.614,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364316.662,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364316.717,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364316.806,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364316.842,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364316.895,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364316.951,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364317.002,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364317.053,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364317.108,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364317.166,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364317.197,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364317.232,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364317.284,0,-19,0,1,21.00,2
0x000000000000000000006011,1517364317.340,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364317.382,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364317.439,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364317.485,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364317.545,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364317.583,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364317.619,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364317.671,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364317.727,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364317.771,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364317.823,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364317.872,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364317.940,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364317.967,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364318.004,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364318.049,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364318.106,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364318.154,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364318.212,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364318.261,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364318.314,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364318.344,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364318.378,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364318.429,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364318.484,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364318.534,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364318.592,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364318.636,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364318.689,0,-23,0,1,21.00,1
0x000000000000000000006011,1517364318.722,0,-25,0,1,21.00,1
0x000000000000000000006011,1517364318.755,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364318.800,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364318.857,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364318.905,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364318.959,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364318.998,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364319.049,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364319.076,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364319.114,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364319.152,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364319.205,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364319.256,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364319.310,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364319.356,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364319.409,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364319.438,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364319.475,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364319.519,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364319.578,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364319.621,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364319.674,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364319.721,0,-19,0,1,21.00,4
0x000000000000000000006011,1517364319.780,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364319.803,0,-24,0,1,21.00,1
0x000000000000000000006011,1517364319.851,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364319.898,0,-18,0,1,21.00,2
0x000000000000000000006011,1517364319.954,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364320.013,0,-23,0,1,21.00,3
0x000000000000000000006011,1517364320.073,0,-19,0,1,21.00,4
