MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 10:50:25 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1517363406.744,0,-33,0,1,21.00,1
0x107010549013305354071900,1517363406.791,0,-33,0,1,21.00,1
0x107010549013305354071900,1517363406.965,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363407.383,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363407.458,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363407.515,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363407.562,0,-34,0,1,21.00,1
0x107010549013305354071900,1517363407.603,0,-34,0,1,21.00,1
0x107010549013305354071900,1517363407.860,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363408.040,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363408.241,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363408.325,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363410.084,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363410.114,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363410.273,0,-34,0,1,21.00,1
0x107010549013305354071900,1517363410.411,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363410.673,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363410.732,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363410.823,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363411.062,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363411.466,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363411.500,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363411.791,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363411.838,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363411.996,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363412.038,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363412.101,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363412.131,0,-33,0,1,21.00,4
0x107010549013305354071900,1517363414.095,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363415.881,0,-34,0,1,21.00,1
0x107010549013305354071900,1517363417.542,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363417.807,0,-34,0,1,21.00,3
0x107010549013305354071900,1517363418.526,0,-34,0,1,21.00,3
0x107010145263633097591868,1517363406.756,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363406.804,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363413.959,0,-33,0,1,21.00,4
0x107010145263633097591868,1517363414.025,0,-33,0,1,21.00,4
0x107010145263633097591868,1517363414.560,0,-32,0,1,21.00,1
0x107010145263633097591868,1517363414.611,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363415.315,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363415.363,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363415.855,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363415.895,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363416.035,0,-32,0,1,21.00,4
0x107010145263633097591868,1517363416.080,0,-33,0,1,21.00,4
0x107010145263633097591868,1517363417.249,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363417.279,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363417.430,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363417.472,0,-33,0,1,21.00,1
0x107010145263633097591868,1517363418.640,0,-33,0,1,21.00,4
0x107010145263633097591868,1517363418.708,0,-33,0,1,21.00,4
0x108010149027770798513226,1517363406.840,0,-33,0,1,21.00,2
0x108010149027770798513226,1517363406.884,0,-33,0,1,21.00,2
0x000000000000000000006011,1517363406.857,0,-32,0,1,21.00,2
0x000000000000000000006011,1517363406.897,0,-32,0,1,21.00,2
0x000000000000000000006011,1517363406.945,0,-32,0,1,21.00,3
0x000000000000000000006011,1517363406.990,0,-32,0,1,21.00,3
0x000000000000000000006011,1517363407.161,0,-32,0,1,21.00,3
0x000000000000000000006011,1517363407.226,0,-32,0,1,21.00,3
