MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:18:23 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517365090.892,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365090.946,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365091.234,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365091.292,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365091.377,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365091.557,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365091.622,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365091.669,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365091.725,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365091.887,0,-30,0,1,21.00,2
0x000000000000000000004005,1517365091.944,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365091.996,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365092.040,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365092.235,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365092.304,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365092.338,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365092.382,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365092.564,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365092.600,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365092.651,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365092.714,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365092.896,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365093.176,0,-30,0,1,21.00,2
0x000000000000000000004005,1517365093.212,0,-30,0,1,21.00,2
0x000000000000000000004005,1517365093.278,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365093.308,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365093.484,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365093.550,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365093.623,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365093.830,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365093.881,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365093.929,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365093.971,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365094.130,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365094.175,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365094.473,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365094.529,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365094.576,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365094.648,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365094.905,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365095.194,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365095.255,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365095.319,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365095.354,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365095.543,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365095.608,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365095.671,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365095.873,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365095.938,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365096.214,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365096.282,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365096.338,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365096.387,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365096.571,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365096.637,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365096.708,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365096.909,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365096.959,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365097.017,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365097.064,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365097.315,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365097.368,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365097.424,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365097.485,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365097.694,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365097.752,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365098.129,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365098.227,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365098.444,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365098.489,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365098.834,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365098.901,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365098.977,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365099.214,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365099.289,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365099.350,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365099.390,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365099.675,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365100.049,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365100.165,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365100.253,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365100.425,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365100.503,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365100.548,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365100.619,0,-29,0,1,21.00,3
0x000000000000000000004005,1517365100.953,0,-31,0,1,21.00,2
0x000000000000000000004005,1517365101.049,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365090.907,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365090.937,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365091.009,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365091.053,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365091.254,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365091.312,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365091.352,0,-28,0,1,21.00,3
0x107010349013305354381890,1517365091.396,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365091.567,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365091.612,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365091.698,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365091.870,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365091.930,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365092.218,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365092.295,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365092.554,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365092.614,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365092.661,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365092.695,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365092.855,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365092.906,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365092.966,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365092.996,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365093.075,0,-34,0,1,21.00,4
0x107010349013305354381890,1517365093.223,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365093.266,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365093.318,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365093.495,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365093.559,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365093.814,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365093.859,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365093.941,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365094.142,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365094.191,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365094.461,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365094.518,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365094.874,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365094.917,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365095.207,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365095.269,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365095.333,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365095.553,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365095.598,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365095.661,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365095.710,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365095.863,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365095.920,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365095.991,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365096.037,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365096.236,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365096.270,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365096.349,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365096.398,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365096.560,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365096.627,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365096.898,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365096.969,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365097.032,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365097.326,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365097.386,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365097.720,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365097.799,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365097.835,0,-27,0,1,21.00,3
0x107010349013305354381890,1517365098.119,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365098.157,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365098.246,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365098.434,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365098.479,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365098.559,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365098.844,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365098.872,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365098.929,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365098.996,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365099.274,0,-32,0,1,21.00,2
0x107010349013305354381890,1517365099.363,0,-29,0,1,21.00,3
0x107010349013305354381890,1517365099.655,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365099.712,0,-31,0,1,21.00,2
0x107010349013305354381890,1517365099.774,0,-29,0,1,21.00,3
