MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 10:54:08 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000004005,1517363635.696,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363635.760,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363636.154,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363636.452,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363636.489,0,-28,0,1,21.00,3
0x000000000000000000004005,1517363636.672,0,-27,0,1,21.00,3
0x000000000000000000004005,1517363636.745,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363637.170,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363637.202,0,-27,0,1,21.00,3
0x000000000000000000004005,1517363637.690,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363637.969,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363638.183,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363638.367,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363638.423,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363638.836,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363638.901,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363639.105,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363639.595,0,-27,0,1,21.00,3
0x000000000000000000004005,1517363639.654,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363639.838,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363639.915,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363640.105,0,-27,0,1,21.00,3
0x000000000000000000004005,1517363640.294,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363640.348,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363640.525,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363640.808,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363640.997,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363641.044,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363641.347,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363641.388,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363641.572,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363641.616,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363641.818,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363641.834,0,-28,0,1,21.00,3
0x000000000000000000004005,1517363642.011,0,-27,0,1,21.00,3
0x000000000000000000004005,1517363642.098,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363642.842,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363643.013,0,-27,0,1,21.00,3
0x000000000000000000004005,1517363643.080,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363643.248,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363643.397,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363643.563,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363643.990,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363644.240,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363644.428,0,-28,0,1,21.00,3
0x000000000000000000004005,1517363644.467,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363644.752,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363644.797,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363644.993,0,-29,0,1,21.00,3
0x000000000000000000004005,1517363645.063,0,-29,0,1,21.00,3
0x107010249722621700351874,1517363635.709,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363635.743,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363636.142,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363636.179,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363636.467,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363636.509,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363636.687,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363636.735,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363636.969,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363637.181,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363637.226,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363637.396,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363637.911,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363637.942,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363638.127,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363638.206,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363638.433,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363638.642,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363638.847,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363638.878,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363639.057,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363639.121,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363639.336,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363639.622,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363639.679,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363639.892,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363640.085,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363640.146,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363640.339,0,-32,0,1,21.00,3
0x107010249722621700351874,1517363640.515,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363640.572,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363640.781,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363641.007,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363641.060,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363641.337,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363641.398,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363641.857,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363642.028,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363642.084,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363642.254,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363642.311,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363642.606,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363642.653,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363643.040,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363643.090,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363643.280,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363643.387,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363643.540,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363643.586,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363643.759,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363643.828,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363644.030,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363644.214,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363644.255,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363644.448,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363644.481,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363644.765,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363644.812,0,-31,0,1,21.00,3
0x107010249722621700351874,1517363645.016,0,-31,0,1,21.00,3
0x110010349835865102614942,1517363635.719,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363635.945,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363636.132,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363636.198,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363636.524,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363636.696,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363636.761,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363636.996,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363637.375,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363637.416,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363637.661,0,-32,0,1,21.00,3
0x110010349835865102614942,1517363637.708,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363637.778,0,-34,0,1,21.00,4
0x110010349835865102614942,1517363637.829,0,-35,0,1,21.00,4
0x110010349835865102614942,1517363637.923,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363638.153,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363638.350,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363638.406,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363638.597,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363638.674,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363638.890,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363639.317,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363639.373,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363639.605,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363639.666,0,-33,0,1,21.00,3
0x110010349835865102614942,1517363639.716,0,-34,0,1,21.00,4
