MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:46:50 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515656798.197,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656798.255,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656798.616,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656798.901,0,-33,0,2,21.00,4
0x107010549013305354071900,1515656798.934,0,-33,0,2,21.00,4
0x107010549013305354071900,1515656798.991,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656799.021,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656799.588,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656799.635,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656799.802,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656799.886,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656799.917,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656800.181,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656800.219,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656800.573,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656800.620,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656800.774,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656800.825,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656801.179,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656801.227,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656801.493,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656801.820,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656802.016,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656802.064,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656802.119,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656803.004,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656803.700,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656803.886,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656803.937,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656804.021,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656804.174,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656804.211,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656804.262,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656804.324,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656804.616,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656804.955,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656805.028,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656805.625,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656805.700,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656806.000,0,-34,0,4,21.00,4
