MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:33:29 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1515655995.043,0,-33,0,4,21.00,3
0x107010249722621700351874,1515655995.096,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655995.282,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655995.327,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655995.579,0,-33,0,4,21.00,3
0x107010249722621700351874,1515655995.626,0,-33,0,4,21.00,3
0x107010249722621700351874,1515655995.799,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655995.834,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655996.105,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655996.151,0,-33,0,4,21.00,3
0x107010249722621700351874,1515655996.494,0,-33,0,4,21.00,3
0x107010249722621700351874,1515655996.534,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655997.105,0,-33,0,4,21.00,3
0x107010249722621700351874,1515655997.146,0,-33,0,4,21.00,3
0x107010249722621700351874,1515655997.565,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655997.613,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655998.200,0,-33,0,4,21.00,3
0x107010249722621700351874,1515655998.268,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655998.498,0,-32,0,4,21.00,3
0x107010249722621700351874,1515655998.816,0,-32,0,1,21.00,3
0x107010249722621700351874,1515655999.049,0,-30,0,1,21.00,3
0x107010249722621700351874,1515655999.117,0,-31,0,1,21.00,3
0x107010249722621700351874,1515655999.311,0,-32,0,1,21.00,3
0x107010249722621700351874,1515655999.640,0,-31,0,1,21.00,3
0x107010249722621700351874,1515655999.966,0,-30,0,1,21.00,3
0x107010249722621700351874,1515656000.039,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656000.289,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656000.645,0,-33,0,1,21.00,2
0x107010249722621700351874,1515656000.893,0,-33,0,1,21.00,2
0x107010249722621700351874,1515656000.945,0,-33,0,1,21.00,2
0x107010249722621700351874,1515656001.026,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656001.277,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656001.326,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656001.494,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656001.555,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656001.841,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656001.882,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656002.063,0,-32,0,1,21.00,3
0x107010249722621700351874,1515656002.329,0,-33,0,1,21.00,2
0x107010249722621700351874,1515656002.377,0,-33,0,1,21.00,2
0x107010249722621700351874,1515656002.461,0,-31,0,1,21.00,3
0x107010249722621700351874,1515656002.757,0,-31,0,2,21.00,3
0x107010249722621700351874,1515656002.837,0,-32,0,2,21.00,3
