MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 6:53:58 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006031,1515664422.715,0,-24,0,3,21.00,1
0x000000000000000000006031,1515664422.832,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664422.965,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664423.007,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664423.177,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664423.212,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664423.368,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664423.412,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664423.481,0,-24,0,3,21.00,1
0x000000000000000000006031,1515664423.537,0,-24,0,3,21.00,1
0x000000000000000000006031,1515664423.572,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664423.609,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664423.762,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664423.807,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664423.849,0,-24,0,3,21.00,1
0x000000000000000000006031,1515664423.901,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664423.957,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664423.994,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664424.148,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664424.196,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664424.265,0,-24,0,3,21.00,1
0x000000000000000000006031,1515664424.320,0,-24,0,3,21.00,1
0x000000000000000000006031,1515664424.352,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664424.390,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664424.535,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664424.578,0,-22,0,3,21.00,4
0x000000000000000000006031,1515664424.653,0,-24,0,3,21.00,1
0x000000000000000000006031,1515664424.671,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664424.724,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664424.760,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664424.928,0,-23,0,3,21.00,4
0x000000000000000000006031,1515664424.978,0,-23,0,3,21.00,4
0x000000000000000000006031,1515664425.035,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664425.078,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664425.135,0,-21,0,3,21.00,2
0x000000000000000000006031,1515664425.173,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664425.324,0,-23,0,3,21.00,4
0x000000000000000000006031,1515664425.364,0,-23,0,3,21.00,4
0x000000000000000000006031,1515664425.416,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664425.465,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664425.520,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664425.566,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664425.706,0,-23,0,3,21.00,4
0x000000000000000000006031,1515664425.750,0,-23,0,3,21.00,4
0x000000000000000000006031,1515664425.807,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664425.859,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664425.914,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664425.952,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664426.094,0,-23,0,3,21.00,4
0x000000000000000000006031,1515664426.135,0,-23,0,3,21.00,4
0x000000000000000000006031,1515664426.184,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664426.232,0,-23,0,3,21.00,1
0x000000000000000000006031,1515664426.282,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664426.321,0,-20,0,3,21.00,2
0x000000000000000000006031,1515664426.505,0,-23,0,4,21.00,4
0x000000000000000000006031,1515664426.584,0,-23,0,4,21.00,4
0x000000000000000000006031,1515664426.634,0,-23,0,4,21.00,1
0x000000000000000000006031,1515664426.682,0,-23,0,4,21.00,1
0x000000000000000000006031,1515664426.743,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664426.786,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664426.959,0,-23,0,4,21.00,4
0x000000000000000000006031,1515664426.999,0,-23,0,4,21.00,4
0x000000000000000000006031,1515664427.057,0,-23,0,4,21.00,1
0x000000000000000000006031,1515664427.105,0,-23,0,4,21.00,1
0x000000000000000000006031,1515664427.159,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664427.205,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664427.340,0,-23,0,4,21.00,4
0x000000000000000000006031,1515664427.386,0,-23,0,4,21.00,4
0x000000000000000000006031,1515664427.444,0,-23,0,4,21.00,1
0x000000000000000000006031,1515664427.490,0,-23,0,4,21.00,1
0x000000000000000000006031,1515664427.546,0,-19,0,4,21.00,2
0x000000000000000000006031,1515664427.585,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664427.734,0,-22,0,4,21.00,4
0x000000000000000000006031,1515664427.778,0,-23,0,4,21.00,4
0x000000000000000000006031,1515664427.835,0,-23,0,4,21.00,1
0x000000000000000000006031,1515664427.881,0,-23,0,4,21.00,1
0x000000000000000000006031,1515664427.933,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664427.974,0,-19,0,4,21.00,2
0x000000000000000000006031,1515664428.218,0,-22,0,4,21.00,1
0x000000000000000000006031,1515664428.262,0,-22,0,4,21.00,1
0x000000000000000000006031,1515664428.323,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664428.361,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664428.602,0,-22,0,4,21.00,1
0x000000000000000000006031,1515664428.644,0,-22,0,4,21.00,1
0x000000000000000000006031,1515664428.702,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664428.747,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664428.921,0,-22,0,4,21.00,1
0x000000000000000000006031,1515664428.967,0,-22,0,4,21.00,1
0x000000000000000000006031,1515664429.029,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664429.074,0,-20,0,4,21.00,2
0x000000000000000000006031,1515664429.331,0,-22,0,4,21.00,1
0x000000000000000000006031,1515664429.381,0,-22,0,4,21.00,1
0x000000000000000000006031,1515664429.434,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664429.480,0,-21,0,4,21.00,2
0x000000000000000000006031,1515664429.638,0,-22,0,4,21.00,4
0x000000000000000000006031,1515664429.688,0,-22,0,4,21.00,4
0x000000000000000000006031,1515664429.743,0,-22,0,4,21.00,1
