MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 6:52:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515664339.144,0,-33,0,3,21.00,1
0x107010549013305354071900,1515664339.181,0,-32,0,3,21.00,1
0x107010549013305354071900,1515664339.361,0,-33,0,3,21.00,4
0x107010549013305354071900,1515664339.398,0,-33,0,3,21.00,4
0x107010549013305354071900,1515664340.116,0,-32,0,3,21.00,1
0x107010549013305354071900,1515664340.169,0,-32,0,3,21.00,1
0x107010549013305354071900,1515664340.802,0,-33,0,3,21.00,4
0x107010549013305354071900,1515664340.868,0,-33,0,3,21.00,4
0x107010549013305354071900,1515664341.230,0,-33,0,3,21.00,4
0x107010549013305354071900,1515664341.288,0,-33,0,3,21.00,4
0x107010549013305354071900,1515664341.338,0,-32,0,3,21.00,1
0x107010549013305354071900,1515664341.394,0,-32,0,3,21.00,1
0x107010549013305354071900,1515664341.671,0,-32,0,3,21.00,1
0x107010549013305354071900,1515664341.731,0,-33,0,3,21.00,1
0x107010549013305354071900,1515664342.183,0,-33,0,3,21.00,4
0x107010549013305354071900,1515664342.826,0,-33,0,3,21.00,4
0x107010549013305354071900,1515664343.341,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664343.368,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664343.535,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664343.605,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664343.802,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664343.969,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664344.022,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664344.078,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664344.255,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664344.292,0,-32,0,4,21.00,4
0x107010549013305354071900,1515664344.521,0,-32,0,4,21.00,4
0x107010549013305354071900,1515664344.568,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664344.826,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664344.868,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664345.003,0,-32,0,4,21.00,4
0x107010549013305354071900,1515664345.064,0,-32,0,4,21.00,4
0x107010549013305354071900,1515664345.106,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664345.136,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664345.830,0,-34,0,4,21.00,4
0x107010549013305354071900,1515664346.060,0,-34,0,4,21.00,4
0x107010549013305354071900,1515664346.274,0,-34,0,4,21.00,4
0x107010549013305354071900,1515664346.314,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664346.480,0,-34,0,4,21.00,4
0x107010549013305354071900,1515664346.511,0,-33,0,4,21.00,4
0x107010549013305354071900,1515664346.578,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664346.611,0,-33,0,4,21.00,1
0x107010549013305354071900,1515664346.930,0,-32,0,1,21.00,1
0x107010549013305354071900,1515664346.989,0,-32,0,1,21.00,1
0x107010549013305354071900,1515664347.182,0,-32,0,1,21.00,4
0x107010549013305354071900,1515664347.820,0,-33,0,1,21.00,4
0x107010549013305354071900,1515664347.904,0,-32,0,1,21.00,1
0x107010549013305354071900,1515664347.970,0,-32,0,1,21.00,1
0x107010549013305354071900,1515664348.259,0,-32,0,1,21.00,1
0x107010549013305354071900,1515664348.281,0,-32,0,1,21.00,1
0x107010549013305354071900,1515664348.480,0,-33,0,1,21.00,4
0x107010549013305354071900,1515664348.560,0,-32,0,1,21.00,1
0x107010549013305354071900,1515664348.635,0,-32,0,1,21.00,1
0x107010549013305354071900,1515664349.070,0,-33,0,1,21.00,4
0x107010549013305354071900,1515664349.154,0,-32,0,1,21.00,1
