MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 6:37:56 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515663461.511,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663462.016,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663463.006,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663463.072,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663463.312,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663463.373,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663463.633,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663463.685,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663463.966,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663464.013,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663465.028,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663465.065,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515663465.752,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515663465.791,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515663466.310,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515663466.351,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515663466.818,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515663466.859,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515663468.270,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515663468.316,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515663469.195,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663469.254,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663469.611,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663469.870,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663469.920,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663470.192,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663470.258,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663470.722,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663470.787,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515663471.174,0,-30,0,1,21.00,1
0x107010549013305354071900,1515663461.533,0,-32,0,3,21.00,1
0x107010549013305354071900,1515663461.993,0,-32,0,3,21.00,1
0x107010549013305354071900,1515663462.052,0,-32,0,3,21.00,1
0x107010549013305354071900,1515663462.575,0,-34,0,3,21.00,4
0x107010549013305354071900,1515663462.606,0,-34,0,3,21.00,4
