MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:11:45 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006031,1515665492.232,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665492.279,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665492.341,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665492.382,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665492.427,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665492.480,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665492.539,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665492.582,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665492.639,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665492.684,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665492.738,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665492.788,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665492.841,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665492.891,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665492.949,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665492.989,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665493.046,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665493.097,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665493.150,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665493.204,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665493.256,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665493.302,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665493.363,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665493.413,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665493.462,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665493.508,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665493.563,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665493.611,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665493.659,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665493.704,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665493.751,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665493.794,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665493.854,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665493.896,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665493.954,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665493.996,0,-19,0,1,21.00,2
0x000000000000000000006031,1515665494.055,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665494.112,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665494.173,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665494.217,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665494.274,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665494.324,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665494.380,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665494.425,0,-20,0,1,21.00,2
0x000000000000000000006031,1515665494.476,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665494.526,0,-21,0,1,21.00,3
0x000000000000000000006031,1515665494.586,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665494.624,0,-18,0,1,21.00,4
0x000000000000000000006031,1515665494.683,0,-20,0,1,21.00,1
0x000000000000000000006031,1515665494.729,0,-20,0,1,21.00,1
