MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 7:04:17 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515665043.109,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665043.158,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665043.326,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665043.363,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665043.737,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665043.769,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665044.022,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665044.076,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665044.620,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665044.649,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665044.891,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665044.934,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665045.315,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665045.374,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665045.617,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665045.659,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665045.893,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665045.941,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665046.194,0,-29,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665046.247,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665046.485,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665046.520,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665046.800,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665046.882,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515665047.508,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665047.571,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665048.349,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665048.391,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665049.483,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665049.513,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665049.762,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665049.819,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665050.147,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665050.186,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665050.450,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665050.479,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515665051.706,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665051.739,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665052.002,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665052.062,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665052.235,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665052.288,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665052.607,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515665052.638,0,-31,0,3,21.00,1
0x107010549013305354071900,1515665043.126,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665043.168,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665043.307,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665043.380,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665043.722,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665043.780,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665044.043,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665044.087,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665044.603,0,-31,0,1,21.00,1
0x107010549013305354071900,1515665044.665,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665044.907,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665044.952,0,-31,0,1,21.00,1
0x107010549013305354071900,1515665045.330,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665045.360,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665045.608,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665045.678,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665045.903,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665045.952,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665046.185,0,-31,0,1,21.00,1
0x107010549013305354071900,1515665046.230,0,-32,0,1,21.00,1
0x107010549013305354071900,1515665046.495,0,-31,0,1,21.00,1
0x107010549013305354071900,1515665046.541,0,-31,0,1,21.00,1
0x107010549013305354071900,1515665046.812,0,-31,0,1,21.00,1
0x107010549013305354071900,1515665046.869,0,-31,0,1,21.00,1
0x107010549013305354071900,1515665047.522,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665047.559,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665048.358,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665048.406,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665049.464,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665049.528,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665049.779,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665049.809,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665050.135,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665050.203,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665050.435,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665050.489,0,-32,0,2,21.00,1
0x107010549013305354071900,1515665051.696,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665051.754,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665052.021,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665052.048,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665052.246,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665052.276,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665052.598,0,-32,0,3,21.00,1
0x107010549013305354071900,1515665052.649,0,-32,0,3,21.00,1
0x107010249722621700351874,1515665043.200,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665043.238,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665043.410,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665043.450,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665043.534,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665043.584,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665043.898,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665043.986,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665044.161,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665044.428,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665044.447,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665044.710,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665044.744,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665045.001,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665045.031,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665045.109,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665045.145,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665045.405,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665045.472,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665045.715,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665045.739,0,-29,0,1,21.00,3
0x107010249722621700351874,1515665045.984,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665046.024,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665046.303,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665046.329,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665046.607,0,-31,0,1,21.00,3
0x107010249722621700351874,1515665046.635,0,-30,0,1,21.00,3
0x107010249722621700351874,1515665047.008,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665047.054,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665047.299,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665047.338,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665047.658,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665047.723,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665047.891,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665047.940,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665048.142,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665048.216,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665048.531,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665048.729,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665048.748,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665049.021,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665049.273,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665049.319,0,-29,0,2,21.00,3
0x107010249722621700351874,1515665049.635,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665049.725,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665049.980,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665050.312,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665050.358,0,-30,0,2,21.00,3
0x107010249722621700351874,1515665050.564,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665050.608,0,-31,0,2,21.00,3
0x107010249722621700351874,1515665050.811,0,-30,0,3,21.00,3
