MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:38:27 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097591868,1517366295.185,0,-33,0,1,21.00,1
0x107010145263633097591868,1517366295.269,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366295.644,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366295.694,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366296.031,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366296.082,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366296.458,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366296.503,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366296.859,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366296.911,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366297.068,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366297.120,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366297.473,0,-33,0,1,21.00,2
0x107010145263633097591868,1517366297.531,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366297.853,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366297.895,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366298.189,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366298.569,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366298.620,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366298.874,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366299.011,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366299.251,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366299.306,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366299.556,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366299.598,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366299.855,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366299.926,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366300.322,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366300.594,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366300.915,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366301.225,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366301.263,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366301.531,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366301.645,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366301.989,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366302.305,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366302.604,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366302.663,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366302.946,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366303.234,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366303.278,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366303.549,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366303.627,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366303.946,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366304.303,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366304.673,0,-32,0,1,21.00,2
0x107010145263633097591868,1517366304.994,0,-32,0,1,21.00,2
0x107010549013305354071900,1517366295.196,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366295.540,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366295.597,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366295.657,0,-32,0,1,21.00,2
0x107010549013305354071900,1517366295.990,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366296.062,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366296.362,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366296.403,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366296.467,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366296.748,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366296.809,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366296.872,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366297.078,0,-32,0,1,21.00,2
0x107010549013305354071900,1517366297.129,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366297.376,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366297.403,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366297.461,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366297.521,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366297.770,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366297.806,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366297.876,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366298.168,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366298.222,0,-33,0,1,21.00,2
0x107010549013305354071900,1517366298.475,0,-34,0,1,21.00,1
