MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:26:46 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517365595.265,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365595.309,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365595.353,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365595.406,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365595.466,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365595.512,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365595.566,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365595.618,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365595.674,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365595.711,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365595.759,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365595.816,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365595.874,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365595.925,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365595.981,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365596.051,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365596.106,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365596.145,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365596.194,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365596.255,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365596.319,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365596.367,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365596.426,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365596.474,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365596.529,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365596.564,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365596.612,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365596.660,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365596.714,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365596.759,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365596.812,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365596.869,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365596.930,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365596.966,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365597.013,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365597.051,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365597.106,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365597.154,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365597.204,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365597.263,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365597.322,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365597.359,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365597.405,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365597.456,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365597.503,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365597.541,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365597.596,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365597.654,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365597.711,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365597.749,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365597.796,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365597.851,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365597.930,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365597.971,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365598.028,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365598.086,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365598.133,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365598.172,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365598.218,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365598.241,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365598.288,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365598.329,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365598.394,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365598.438,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365598.503,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365598.537,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365598.591,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365598.651,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365598.705,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365598.758,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365598.810,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365598.865,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365598.917,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365598.953,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365598.999,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365599.053,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365599.166,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365599.211,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365599.268,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365599.328,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365599.380,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365599.421,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365599.466,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365599.517,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365599.577,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365599.620,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365599.687,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365599.736,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365599.787,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365599.827,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365599.872,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365599.931,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365599.995,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365600.038,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365600.105,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365600.166,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365600.217,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365600.261,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365600.316,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365600.359,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365600.418,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365600.471,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365600.521,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365600.566,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365600.624,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365600.665,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365600.717,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365600.779,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365600.859,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365600.908,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365600.963,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365601.014,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365601.060,0,-21,0,1,21.00,1
0x000000000000000000006041,1517365601.096,0,-20,0,1,21.00,1
0x000000000000000000006041,1517365601.141,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365601.168,0,-14,0,1,21.00,2
0x000000000000000000006041,1517365601.226,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365601.274,0,-19,0,1,21.00,3
0x000000000000000000006041,1517365601.332,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365601.377,0,-13,0,1,21.00,4
0x000000000000000000006041,1517365601.435,0,-21,0,1,21.00,1
