MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:35:05 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1517366092.800,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366092.832,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366093.195,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366093.261,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366094.010,0,-34,0,1,21.00,1
0x107010549013305354071900,1517366094.382,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366094.690,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366095.201,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366095.239,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366095.827,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366096.954,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366097.004,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366097.876,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366097.922,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366098.413,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366098.476,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366099.100,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366099.348,0,-33,0,1,21.00,1
0x107010549013305354071900,1517366099.413,0,-33,0,1,21.00,1
0x107010249018591604251877,1517366092.874,0,-31,0,1,21.00,2
0x107010249018591604251877,1517366092.922,0,-30,0,1,21.00,2
0x107010249018591604251877,1517366093.299,0,-31,0,1,21.00,2
0x107010249018591604251877,1517366093.356,0,-31,0,1,21.00,2
0x107010249018591604251877,1517366095.531,0,-30,0,1,21.00,2
0x107010249018591604251877,1517366096.662,0,-30,0,1,21.00,2
0x107010249018591604251877,1517366096.695,0,-30,0,1,21.00,2
0x107010249018591604251877,1517366097.285,0,-31,0,1,21.00,2
0x107010249018591604251877,1517366097.342,0,-30,0,1,21.00,2
0x107010249018591604251877,1517366097.645,0,-31,0,1,21.00,2
